ダイオキシン類 1996～2019（平成8～令和元）年度　　,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,単位：pg-TEQ/m3,,,,
年度,,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,平成8,平成9,平成10,平成11,平成12,平成13,平成14,平成15,平成16,平成17,平成18,平成19,平成20,平成21,平成22,平成23,平成24,平成25,平成26,平成27,平成28,平成29,平成30,令和元
,TEF,,,,,,,,,,,,,,,,,,,,,,,,
中央区晴海局,,,,,,,,,,,,,,,,0.039,0.031,0.054,0.022,0.027,0.025,0.022,0.026,0.021,0.019
港区白金局 ,,0.46,0.49,0.25,0.22,0.19,0.12,0.12,0.057,0.074,0.061,0.049,0.046,0.039,0.034,,,,,,,,,,
目黒区碑文谷局,,,,0.22,0.18,0.15,0.14,0.12,0.047,0.064,0.052,0.044,0.044,0.035,0.03,0.027,0.024,0.019,0.018,0.022,0.015,0.013,,,
大田区東糀谷局,,0.36,0.67,0.3,0.19,0.23,0.16,0.11,0.058,0.082,0.061,0.056,0.055,0.041,0.048,0.034,0.028,0.097,0.022,0.026,0.02,0.028,0.017,0.024,0.018
世田谷区世田谷局,,1.2,0.73,0.25,0.3,0.21,0.22,0.11,0.05,0.069,0.054,0.05,0.047,0.042,0.039,0.032,0.026,0.027,0.025,0.023,0.016,0.015,0.016,0.02,0.016
中野区若宮局,,,,0.37,0.31,0.22,0.25,0.14,0.06,0.07,0.059,0.053,0.049,0.05,0.037,0.034,0.028,0.03,0.02,0.024,0.015,,,,
荒川区南千住局,,,,0.36,0.35,0.29,0.28,0.17,0.09,0.12,0.09,0.076,0.086,0.052,0.053,0.041,0.047,0.051,0.041,0.036,0.028,,,,
板橋区氷川町局,,,,0.33,0.26,0.25,0.24,0.16,0.075,0.11,0.078,0.073,0.058,0.052,0.048,0.047,0.034,0.032,0.028,0.03,0.029,0.022,0.018,0.022,0.021
練馬区石神井町局,,0.48,0.74,0.44,0.28,0.23,0.23,0.12,0.057,0.084,0.062,0.06,0.05,0.042,0.036,0.032,0.031,0.03,0.03,0.02,0.018,0.016,0.019,0.017,0.014
足立区西新井局　,,,0.96,0.32,0.34,0.31,0.26,0.16,0.095,0.1,0.086,0.083,0.071,0.054,0.049,0.048,0.048,0.036,0.028,0.037,0.028,0.028,0.029,0.025,0.027
葛飾区鎌倉,,,,0.41,0.51,0.26,0.21,0.16,0.09,0.12,0.088,0.088,0.076,0.051,0.045,0.047,0.046,0.03,0.035,0.038,0.027,0.027,0.033,0.03,0.03
江戸川区春江町局,,,0.89,0.32,0.37,0.29,0.2,0.16,0.077,0.093,0.08,0.069,0.057,0.049,0.039,0.045,0.034,0.03,0.03,0.031,0.036,0.025,0.021,0.025,0.026
八王子市片倉町局,,0.39,0.58,0.39,0.37,0.16,0.21,0.09,0.046,0.052,0.038,0.042,0.035,0.026,0.029,0.025,0.017,0.018,0.013,0.014,0.013,0.0094,0.018,0.014,0.016
八王子市大楽寺町局,,,,,,,,,,,,,,,,,,,,,0.011,0.0093,0.0093,0.015,0.0096
立川市錦町,,,,0.37,0.17,0.14,0.18,0.092,0.052,0.06,0.047,0.048,0.044,0.035,0.038,0.03,0.025,0.026,0.022,0.02,0.017,0.012,0.015,0.018,0.02
武蔵野市関前局,,,,0.42,0.21,0.21,0.21,0.11,0.054,0.073,0.054,0.056,0.045,0.042,0.038,0.037,0.04,0.025,0.024,0.021,0.018,,,,
町田市能ヶ谷局,,,,0.39,0.18,0.13,0.15,0.084,0.14,0.057,0.04,0.037,0.03,0.026,0.032,0.024,0.02,0.02,0.014,0.016,0.015,0.01,0.013,0.02,0.012
小金井市本町局,,,,0.63,0.25,0.2,0.21,0.093,0.079,0.063,0.062,0.043,0.035,0.041,0.056,0.029,0.029,0.022,0.021,0.019,0.016,0.014,0.014,0.014,0.015
福生市本町局,,0.19,0.53,0.25,0.16,0.12,0.15,0.079,0.046,0.067,0.042,0.055,0.034,0.027,0.043,0.02,0.017,0.015,0.014,0.015,0.014,0.01,0.011,0.011,0.013
東大和市奈良橋局,,,,0.4,0.14,0.13,0.13,0.081,0.046,0.054,0.051,0.039,0.027,0.027,0.03,0.027,0.023,0.016,0.014,0.014,0.02,0.011,0.014,0.015,0.011
清瀬市下宿,,,1.4,0.74,0.29,0.26,0.26,0.15,0.093,0.11,0.076,0.096,0.061,0.063,0.052,0.1,0.053,0.046,0.051,0.038,0.02,0.017,0.02,0.02,0.019
上記の平均,,0.51,0.78,0.38,0.27,0.21,0.2,0.12,0.069,0.08,0.062,0.059,0.05,0.042,0.041,0.038,0.032,0.033,0.025,0.025,0.02,0.017,0.018,0.019,0.018
西多摩郡檜原局,,0.06,0.16,0.067,0.061,0.057,0.054,0.032,0.018,0.025,0.018,0.023,0.036,0.012,0.011,0.012,0.0069,0.0081,0.0083,0.0015,0.00058,0.0071,0.0057,0.0085,0.0061
１～２１地点の平均,,0.45,0.72,0.36,0.26,0.2,0.19,0.12,0.067,0.077,0.06,0.057,0.049,0.04,0.039,0.037,0.03,0.032,0.024,0.024,0.019,0.016,0.018,0.019,0.017
高濃度地点周辺調査,葛飾区新宿,,,,,0.34,0.24,,,,,,,,,,,,,,,,,,
,足立区保木間,,,,,,0.27,,,,,,,,,,,,,,,,,,
,東村山市久米川町,,,,0.15,0.24,,,,,,,,,,,,,,,,,,,
,清瀬市上清戸局,,,,0.2,0.25,0.23,,,,,,,,,,,,,,,,,,
式（全地点平均）,,,0.715,0.36135,0.249590909,0.211608696,0.200173913,0.117566667,,,,,,,,,,,,,,,,,
全地点平均,,0.45,0.72,0.36,0.25,0.21,0.2,0.12,0.067,0.077,0.06,0.057,0.049,0.04,0.039,0.037,0.03,0.032,0.024,0.024,0.019,0.016,0.018,0.019,0.017
,,,,,,,,,,,,,,,,,,,,,,,,,
（参考）環境省測定,国設東京新宿局,,,,,0.12,0.18,0.11,0.078,0.049,0.076,0.038,0.039,0.032,0.029,0.042,0.057,0.02,0.046,0.031,0.018,0.013,0.021,0.014,0.02
,足立区東京都水道局,,,,,0.35,,,,,,,,,,,,,,,,,,,
,足立区中央本町センター,,,,,,0.28,,,,,,,,,,,,,,,,,,
,足立区地域学習センター,,,,,,,0.19,,,,,,,,,,,,,,,,,
,足立区あだち再生館,,,,,,,,0.12,0.082,,,,,,,,,,,,,,,
,日光街道梅島自動車排出ガス測定局,,,,,0.43,0.31,0.2,0.13,0.095,0.1,0.054,0.069,0.051,0.055,0.047,,,,,,,,,
