試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）,
平成27年12月28日／((4)は､12月27日採取),―,不検出 ／(<5.4)／(<5.6),―,不検出 ／(<5.0)／(<4.1),不検出 ／(<6.0)／(<7.0),―,不検出 ／(<5.1)／(<5.1),―,―,不検出 ／(<7.9)／(<6.0),
平成27年12月21日,不検出 ／(<6.1)／(<5.6),―,134Cs: 不検出／(<6.3)／137Cs: 14／合計: 20,―,―,不検出 ／(<6.8)／(<6.1),―,不検出 ／(<6.3)／(<5.0),不検出 ／(<6.8)／(<6.6),―,
平成27年12月14日／((4)は､12月13日採取),―,不検出 ／(<7.4)／(<5.0),―,不検出 ／(<7.0)／(<5.2),不検出 ／(<5.8)／(<6.5),―,不検出 ／(<6.9)／(<6.9),―,―,不検出 ／(<5.5)／(<6.4),
平成27年12月7日,不検出 ／(<7.5)／(<6.3),―,134Cs: 不検出／(<6.6)／137Cs: 15／合計: 22,―,―,不検出 ／(<7.8)／(<6.7),―,不検出 ／(<7.7)／(<5.5),不検出 ／(<6.5)／(<7.1),―,
平成27年11月30日／((4)は､11月29日採取),―,不検出 ／(<7.5)／(<5.4),―,不検出 ／(<5.4)／(<5.3),不検出 ／(<4.6)／(<6.2),―,不検出 ／(<6.4)／(<6.0),―,―,不検出 ／(<8.0)／(<7.0),
平成27年11月23日,不検出 ／(<6.7)／(<7.3),―,134Cs: 不検出／(<6.2)／137Cs: 16／合計: 22,―,―,不検出 ／(<6.4)／(<5.9),―,不検出 ／(<7.0)／(<6.5),不検出 ／(<7.3)／(<7.7),―,
平成27年11月16日／((4)は､11月15日採取),―,不検出 ／(<7.5)／(<7.3),―,不検出 ／(<7.8)／(<7.6),不検出 ／(<7.9)／(<7.2),―,不検出 ／(<6.5)／(<6.4),―,―,不検出 ／(<7.0)／(<7.0),
平成27年11月9日,不検出 ／(<6.3)／(<6.7),―,134Cs: 不検出／(<6.5)／137Cs: 15／合計: 22,―,―,不検出 ／(<6.1)／(<7.8),―,不検出 ／(<7.4)／(<5.9),不検出 ／(<7.5)／(<6.0),―,
平成27年11月2日／((4)は､11月1日採取),―,不検出 ／(<6.7)／(<4.4),―,不検出 ／(<6.8)／(<6.6),不検出 ／(<6.8)／(<6.4),―,不検出 ／(<7.4)／(<6.4),―,―,不検出 ／(<7.0)／(<7.3),
平成27年10月26日,不検出 ／(<7.5)／(<5.6),―,134Cs: 不検出／(<5.5)／137Cs: 26／合計: 32,―,―,不検出 ／(<6.5)／(<7.5),―,不検出 ／(<6.8)／(<7.4),不検出 ／(<6.4)／(<7.3),―,
平成27年10月19日,―,不検出 ／(<6.3)／(<6.5),―,不検出 ／(<5.8)／(<5.8),不検出 ／(<6.3)／(<7.0),―,不検出 ／(<5.7)／(<6.4),―,―,不検出 ／(<6.2)／(<6.5),
平成27年10月12日,不検出 ／(<7.4)／(<6.9),―,134Cs: 不検出／(<5.5)／137Cs: 18／合計: 24,―,―,不検出 ／(<7.5)／(<7.4),―,不検出 ／(<6.8)／(<7.1),不検出 ／(<6.2)／(<5.1),―,
平成27年10月5日／((4)は､10月4日採取),―,不検出 ／(<6.8)／(<6.2),―,不検出 ／(<6.6)／(<5.9),不検出 ／(<7.3)／(<7.1),―,不検出 ／(<7.1)／(<5.4),―,―,不検出 ／(<6.4)／(<6.5),
平成27年9月28日,不検出 ／(<5.7)／(<5.9),―,134Cs: 不検出／(<7.1)／137Cs: 14／合計: 21,―,―,不検出 ／(<6.1)／(<7.4),―,不検出 ／(<6.2)／(<6.5),不検出 ／(<6.7)／(<6.0),―,
