,処理量（千t）,比率（%）
千葉県,136,26.4
埼玉県,131,25.4
神奈川県,78,15.1
東京都,49,9.5
栃木県,90,17.5
茨城県,15,2.9
群馬県,16,3.1
合計,515,100.0
