No.,区市町村名,可燃ごみ,不燃ごみ,粗大ごみ,資源ごみ,有害ごみ,合計
1,千代田区,15326,640,475,4150,0,20591
2,中央区,32565,1470,1322,6953,0,42311
3,港区,50049,1620,2058,15684,0,69410
4,新宿区,68089,2253,2335,14063,0,86741
5,文京区,40689,1666,1254,8467,0,52076
6,台東区,40541,2729,1357,6440,0,51067
7,墨田区,51586,1951,1766,7353,0,62656
8,江東区,91595,0,3024,15641,0,110260
9,品川区,68390,2881,2005,15596,0,88872
10,目黒区,49610,2364,2373,6871,0,61218
11,大田区,127672,4742,3616,22461,0,158491
12,世田谷区,167017,4856,6404,37546,0,215824
13,渋谷区,49092,2134,1414,11112,0,63751
14,中野区,56085,2423,1802,7462,0,67773
15,杉並区,92393,3187,3608,31246,0,130433
16,豊島区,53520,2071,2114,11767,0,69472
17,北区,63717,2040,1675,12304,0,79735
18,荒川区,41699,1807,1270,200,0,44976
19,板橋区,104107,3447,3210,13762,0,124525
20,練馬区,123083,5190,4195,30764,0,163231
21,足立区,132254,293,2722,15979,0,151247
22,葛飾区,80870,3753,2875,17341,0,104839
23,江戸川区,124337,4729,3949,20299,0,153314
24,八王子市,116992,6400,2284,33682,345,159703
25,立川市,31163,2004,1160,12435,59,46821
26,武蔵野市,27334,1165,1476,10829,87,40891
27,三鷹市,27513,1774,1804,14568,57,45716
28,青梅市,28058,1398,1387,7234,55,38132
29,府中市,37254,3523,2029,15874,87,58767
30,昭島市,21488,1435,967,6737,45,30672
31,調布市,32279,3630,1507,19380,79,56877
32,町田市,86728,6277,4387,16763,161,114316
33,小金井市,12700,3769,906,7991,37,25403
34,小平市,33113,4833,1040,9948,70,49004
35,日野市,27056,5589,1276,9309,58,43288
36,東村山市,24371,2049,1414,9017,54,36905
37,国分寺市,16334,1724,757,9055,40,27910
38,国立市,14653,1732,574,4646,25,21630
39,福生市,11319,583,493,3885,21,16301
40,狛江市,13135,933,326,4602,20,19016
41,東大和市,14585,597,275,4893,28,20378
42,清瀬市,12405,1377,75,4122,24,18003
43,東久留米市,21531,2183,130,6010,37,29891
44,武蔵村山市,14472,907,254,4419,28,20080
45,多摩市,31291,1070,1190,6886,44,40481
46,稲城市,16836,1236,413,3319,29,21833
47,羽村市,11429,386,601,4374,23,16813
48,あきる野市,18465,358,604,4360,36,23823
49,西東京市,30222,3487,163,13949,54,47875
50,瑞穂町,8342,319,411,2638,17,11727
51,日の出町,4295,78,132,640,5,5150
52,檜原村,608,13,53,195,0,869
53,奥多摩町,1390,27,43,86,5,1551
54,大島町,3272,162,156,306,6,3902
55,利島村,98,2,0,11,0,111
56,新島村,1130,480,7,57,0,1674
57,神津島村,1192,72,634,17,0,1915
58,三宅村,1217,126,119,84,0,1546
59,御蔵島村,208,4,15,3,1,231
60,八丈町,3068,102,0,623,3,3796
61,青ヶ島村,83,20,0,24,0,127
62,小笠原村,686,0,36,418,19,1159
