種類,排出量（千t）,構成比（％）
上水汚泥,390,1.4
下水汚泥,14437,52.9
建設汚泥,3686,13.5
その他汚泥,700,2.6
がれき類,5865,21.5
ｶﾞﾗｽ陶磁器くず,818,3.0
木くず,343,1.3
廃プラスチック,303,1.1
混合廃棄物,300,1.1
金属くず,152,0.6
その他,290,1.1
合　計,27284,100.0
