,地点番号,調査地点,,平成23年度(TEQ)／水質(４月)(pg/L),平成23年度(TEQ)／水質(７月)(pg/L),平成23年度(TEQ)／水質(10月) (pg/L),平成23年度(TEQ)／水質(1月)(pg/L),平成23年度(TEQ)／水質(年度平均) (pg/L),平成23年度(TEQ)／底質 (pg/g),平成22年度(TEQ)／水質(４月)(pg/L),平成22年度(TEQ)／水質(７月)(pg/L),平成22年度(TEQ)／水質(10月) (pg/L),平成22年度(TEQ)／水質(1月)(pg/L),平成22年度(TEQ)／水質(年度平均) (pg/L),平成22年度(TEQ)／底質 (pg/g)
河川,1,江戸川,金町取水点,-,0.25,-,0.076,0.16,1,-,0.15,-,0.074,0.11,0.42
河川,2,旧江戸川浦安橋,浦安橋,-,0.39,-,0.11,0.25,0.41,-,0.44,-,0.075,0.26,0.35
河川,3,中川平井小橋,平井小橋,0.41,0.81,0.51,0.64,0.59,1.3,0.7,0.54,0.34,0.77,0.59,2.3
河川,4,新中川小岩大橋,小岩大橋,0.38,0.47,0.43,0.18,0.37,2.8,0.68,0.46,0.33,0.76,0.56,3.3
河川,5,新川新川橋,新川橋,-,0.57,-,0.14,0.36,40,-,0.48,-,0.11,0.3,33
河川,6,隅田川小台橋,小台橋,0.55,0.89,0.19,0.12,0.44,17,0.77,0.45,0.59,0.28,0.52,7
河川,7,隅田川両国橋,両国橋,-,0.58,-,0.089,0.33,30,-,0.17,-,0.51,0.34,6.5
河川,8,新河岸川志茂橋,志茂橋,0.35,0.24,0.15,0.087,0.21,0.63,0.21,0.15,0.15,0.19,0.18,0.76
河川,9,白子川落合橋,落合橋,-,0.31,-,0.069,0.19,2.3,-,0.15,-,0.077,0.11,1.6
河川,10,石神井川豊石橋,豊石橋,0.19,0.18,0.082,0.066,0.13,0.47,0.45,0.23,0.12,0.066,0.22,0.44
河川,11,神田川柳橋,柳橋,-,0.17,-,0.067,0.12,62,-,0.1,-,0.2,0.15,2.8
河川,12,日本橋川西河岸橋,西河岸橋,-,0.1,-,0.077,0.089,32,-,0.085,-,0.089,0.087,6.9
河川,13,横十間川天神橋,天神橋,0.53,0.45,2.9,0.48,1.1,270,0.22,1.7,1.5,0.23,0.91,320
河川,14,大横川福寿橋,福寿橋,-,0.18,-,0.15,0.17,34,-,0.16,-,0.11,0.14,58
河川,15,北十間川京成橋,京成橋,0.34,0.37,0.42,0.29,0.36,27,0.2,0.68,0.28,0.44,0.4,120
河川,16,竪川ニ之橋,ニ之橋,-,0.41,-,0.16,0.29,50,-,0.23,-,0.097,0.16,37
河川,17,小名木川進開橋,進開橋,-,0.12,-,0.12,0.12,32,-,0.16,-,1.2,0.68,37
河川,18,旧中川中平井橋,中平井橋,0.22,0.24,0.18,0.79,0.36,30,0.19,0.23,0.13,0.23,0.2,41
河川,19,古川金杉橋,金杉橋,-,0.079,-,0.078,0.079,2.8,-,0.13,-,0.064,0.097,6
河川,20,目黒川太鼓橋,太鼓橋,-,0.064,-,0.069,0.067,4.4,-,0.077,-,0.07,0.074,2
河川,21,立会川立会川橋,立会川橋,-,0.087,-,0.093,0.09,7.2,-,0.076,-,0.069,0.073,8.9
河川,22,内川富士見橋,富士見橋,-,0.34,-,0.094,0.22,23,-,0.62,-,0.31,0.47,21
河川,23,呑川夫婦橋,夫婦橋,-,0.079,-,0.065,0.072,3.2,-,0.092,-,0.068,0.08,6.7
河川,24,日原川氷川小橋,氷川小橋,-,0.62,-,-,0.62,0.21,-,-,-,-,-,-
河川,25,平井川多西橋,多西橋,-,0.11,-,-,0.11,0.89,-,-,-,-,-,-
河川,26,北秋川西川橋,西川橋,-,0.064,-,-,0.064,1,-,-,-,-,-,-
河川,27,谷地川下田橋下,下田橋下,-,0.084,-,0.073,0.079,0.81,-,-,-,-,-,-
河川,28,浅川中央道北浅川橋,中央道北浅川橋,-,0.071,-,-,0.071,0.21,-,-,-,-,-,-
河川,29,南浅川横川橋,横川橋,-,0.1,-,-,0.1,2.2,-,-,-,-,-,-
河川,30,湯殿川春日橋,春日橋,-,0.16,-,-,0.16,0.5,-,-,-,-,-,-
河川,31,大栗川向ノ岡大橋,向ノ岡大橋,-,0.08,-,0.066,0.073,0.69,-,-,-,-,-,-
河川,32,野川天神森橋,天神森橋,-,0.072,-,0.064,0.068,1.2,-,-,-,-,-,-
河川,33,恩田川都橋,都橋,-,0.069,-,0.065,0.067,0.7,-,-,-,-,-,-
河川,34,境川鶴間一号橋,鶴間一号橋,-,0.11,-,0.069,0.09,0.96,-,-,-,-,-,-
河川,35,黒沢川落合橋,落合橋,-,0.15,-,0.1,0.13,0.6,-,-,-,-,-,-
河川,36,空堀川梅坂橋,梅坂橋,-,0.066,-,0.079,0.073,5.9,-,-,-,-,-,-
河川,37,黒目川神宝大橋,神宝大橋,-,0.11,-,0.074,0.092,0.76,-,-,-,-,-,-
河川,0,多摩川和田橋,和田橋,-,-,-,-,-,-,-,0.064,-,0.063,0.064,0.37
河川,0,秋川東秋川橋,東秋川橋,-,-,-,-,-,-,-,0.074,-,-,0.074,0.26
河川,0,養沢川新橋,新橋,-,-,-,-,-,-,-,0.065,-,-,0.065,1.1
河川,0,残堀川立川橋,立川橋,-,-,-,-,-,-,-,0.6,-,0.071,0.34,3.4
河川,0,城山川五反田橋,五反田橋,-,-,-,-,-,-,-,0.092,-,0.065,0.079,1.1
河川,0,川口川川口川橋,川口川橋,-,-,-,-,-,-,-,0.089,-,0.07,0.08,0.58
河川,0,程久保川玉川橋,玉川橋,-,-,-,-,-,-,-,0.31,-,0.2,0.26,0.93
