一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
467,府中市住吉町2-30,35.655674,139.456924,JGD2011,府中町田線（鎌倉街道）,b,2001-08-08,2001-08-09,4,6,5.0,2.0,69,67
468,府中市栄町3-7,35.686638,139.472107,JGD2011,市道学園通り,b,2001-11-27,2001-11-28,6,2,3.0,1.5,69,62
469,府中市四谷3-2740,35.659714,139.444138,JGD2011,市道多摩川通り,a,2001-08-27,2001-08-28,6,2,3.0,1.5,67,64
470,府中市美好町2-4-2,35.672638,139.466782,JGD2011,国道２０号（甲州街道）,c,2001-09-20,2001-09-21,3,4,3.0,2.0,76,75
471,府中市分梅町3-50-2,35.665642,139.459076,JGD2011,府中町田線（鎌倉街道）,b,2001-09-17,2001-09-18,4,4,3.0,2.2,66,64
472,府中市若松町3-11,35.673546,139.499054,JGD2011,府中小平線（新小金井街道）,b,2001-08-23,2001-08-24,4,2,4.0,2.0,68,64
473,府中市緑町1-12-12,35.672012,139.485672,JGD2011,国道２０号（甲州街道）,c,2001-09-26,2001-09-27,3,4,3.0,2.0,66,65
474,府中市若松町3-39-1,35.675034,139.506744,JGD2011,府中三鷹線（人見街道）,a,2001-10-31,2001-11-01,4,2,1.0,1.5,66,62
475,府中市西府町2-9,35.674881,139.456924,JGD2011,国道２０号（甲州街道）,b,2001-11-14,2001-11-15,3,5,2.0,1.5,72,71
476,府中市寿町3-7,35.675293,139.473862,JGD2011,府中所沢線（府中街道）,c,2001-10-04,2001-10-05,4,3,4.0,2.0,69,67
477,府中市栄町3-18-20,35.688309,139.471848,JGD2011,新宿国立線（東八道路）,b,2001-04-26,2001-04-27,4,4,5.0,1.5,68,67
478,府中市栄町1-6,35.688923,139.481216,JGD2011,新宿国立線（東八道路）,b,2001-12-04,2001-12-05,4,4,7.0,1.5,63,60
479,府中市天神町4-4,35.682137,139.493469,JGD2011,府中清瀬線（小金井街道),B,2002-01-15,2002-01-16,4,2,1.8,1.2,71,68
480,府中市住吉町1-32,35.661987,139.457687,JGD2011,府中町田線（鎌倉街道）,C,2002-01-15,2002-01-16,4,4,3.0,1.2,69,64
481,府中市紅葉丘1-10,35.675602,139.508942,JGD2011,府中三鷹線（人見街道）,A,2002-01-15,2002-01-16,4,2,0.9,1.2,67,63
