項目名,,毒性等価係数,中央区入船1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新宿区西新宿2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,品川区東大井4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大田区萩中3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,杉並区高井戸西1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,北区浮間1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,荒川区西尾久4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,板橋区舟渡4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,葛飾区堀切2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市みつい台1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,青梅市柚木町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,昭島市緑町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,調布市富士見町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,町田市三輪緑山3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市諏訪町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,国立市谷保／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩市豊ヶ丘5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,神津島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新島村式根島／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
ＰＣＤＤｓ,"1,3,6,8-TeCDD",0,0.26,0.08,4.5,0.29,0.09,50,0.26,0.08,7.0,0.28,0.08,12,0.28,0.09,33,0.25,0.08,11,0.26,0.08,57,0.27,0.08,71,0.26,0.08,9.0,0.30,0.08,4.3,0.25,0.08,6.0,0.28,0.08,13,0.27,0.08,7.2,0.27,0.08,4.9,0.25,0.08,19,0.26,0.08,10,0.26,0.08,6.0,0.25,0.07,0.47,0.25,0.08,220
ＰＣＤＤｓ,"1,3,7,9-TeCDD",0,0.26,0.08,2.1,0.29,0.09,24,0.26,0.08,3.6,0.28,0.08,6.2,0.28,0.09,15,0.25,0.08,5.2,0.26,0.08,29,0.27,0.08,22,0.26,0.08,4.6,0.30,0.08,2.2,0.25,0.08,3.3,0.28,0.08,6.8,0.27,0.08,3.6,0.27,0.08,3.2,0.25,0.08,8.6,0.26,0.08,4.4,0.26,0.08,2.9,0.25,0.07,(0.17),0.25,0.08,67
ＰＣＤＤｓ,"2,3,7,8-TeCDD",1,0.26,0.08,(0.12),0.29,0.09,0.48,0.26,0.08,(0.11),0.28,0.08,(0.16),0.28,0.09,0.61,0.25,0.08,1.4,0.26,0.08,0.83,0.27,0.08,0.44,0.26,0.08,(0.16),0.30,0.08,(0.12),0.25,0.08,(0.17),0.28,0.08,0.51,0.27,0.08,0.32,0.27,0.08,(0.15),0.25,0.08,(0.19),0.26,0.08,(0.13),0.26,0.08,(0.15),0.25,0.07,ND,0.25,0.08,(0.16)
ＰＣＤＤｓ,"1,2,3,7,8-PeCDD",1,0.26,0.08,0.39,0.29,0.09,3.4,0.26,0.08,0.67,0.28,0.08,1.2,0.28,0.09,2.0,0.25,0.08,0.65,0.26,0.08,4.4,0.27,0.08,1.7,0.26,0.08,0.61,0.4,0.1,0.5,0.25,0.08,1.2,0.28,0.08,2.4,0.27,0.08,1.7,0.27,0.08,1.0,0.25,0.08,1.0,0.26,0.08,0.75,0.26,0.08,0.77,0.25,0.07,(0.10),0.25,0.08,1.4
ＰＣＤＤｓ,"1,2,3,4,7-PeCDD",0,0.26,0.08,0.32,0.29,0.09,3.7,0.26,0.08,1.0,0.28,0.08,1.1,0.28,0.09,2.6,0.25,0.08,0.82,0.26,0.08,6.6,0.27,0.08,1.9,0.26,0.08,0.98,0.4,0.1,0.9,0.25,0.08,1.3,0.28,0.08,2.1,0.27,0.08,0.81,0.27,0.08,0.68,0.25,0.08,1.2,0.26,0.08,0.89,0.26,0.08,0.80,0.25,0.07,ND,0.25,0.08,0.55
ＰＣＤＤｓ,"1,2,3,4,7,8-HxCDD",0.1,0.5,0.2,(0.3),0.6,0.2,3.2,0.5,0.2,0.7,0.6,0.2,1.3,0.6,0.2,2.1,0.5,0.2,0.7,0.5,0.2,6.0,0.5,0.2,1.7,0.5,0.2,0.8,0.4,0.1,0.5,0.5,0.2,1.4,0.6,0.2,1.8,0.5,0.2,1.0,0.5,0.2,1.2,0.5,0.2,0.9,0.5,0.2,0.8,0.5,0.2,0.9,0.5,0.1,ND,0.5,0.2,2.2
ＰＣＤＤｓ,"1,2,3,6,7,8-HxCDD",0.1,0.5,0.2,0.7,0.6,0.2,7.5,0.5,0.2,1.3,0.6,0.2,2.8,0.6,0.2,4.5,0.5,0.2,1.1,0.5,0.2,12,0.5,0.2,4.1,0.5,0.2,1.5,0.4,0.1,0.7,0.5,0.2,2.4,0.6,0.2,3.3,0.5,0.2,7.9,0.5,0.2,3.0,0.5,0.2,1.7,0.5,0.2,1.5,0.5,0.2,1.9,0.5,0.1,(0.4),0.5,0.2,4.6
ＰＣＤＤｓ,"1,2,3,7,8,9-HxCDD",0.1,0.5,0.2,1.4,0.6,0.2,8.6,0.5,0.2,1.3,0.6,0.2,4.4,0.6,0.2,4.7,0.5,0.2,1.4,0.5,0.2,11,0.5,0.2,4.3,0.5,0.2,1.5,0.4,0.1,0.7,0.5,0.2,2.2,0.6,0.2,5.6,0.5,0.2,6.8,0.5,0.2,3.4,0.5,0.2,1.5,0.5,0.2,1.4,0.5,0.2,1.6,0.5,0.1,(0.4),0.5,0.2,5.9
ＰＣＤＤｓ,"1,2,3,4,6,7,8-HpCDD",0.01,0.5,0.2,10,0.6,0.2,88,0.5,0.2,12,0.6,0.2,49,0.6,0.2,42,0.5,0.2,9.9,0.5,0.2,190,0.5,0.2,40,0.5,0.2,23,1.7,0.5,5.6,0.5,0.2,26,0.6,0.2,25,0.5,0.2,31,0.5,0.2,43,0.5,0.2,21,0.5,0.2,15,0.5,0.2,19,0.5,0.1,5.3,0.5,0.2,200
ＰＣＤＤｓ,OCDD,0.0003,1.0,0.3,150,1.1,0.3,840,1.0,0.3,66,1.0,0.3,720,1.1,0.3,260,1.0,0.3,65,1.0,0.3,2500,1.0,0.3,490,1.0,0.3,430,1.1,0.3,22,1.0,0.3,130,1.0,0.3,120,1.0,0.3,180,1.0,0.3,420,1.0,0.3,340,1.1,0.3,150,1.0,0.3,230,0.9,0.3,250,1.0,0.3,13000
