一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号(新宿通り),c,2007-06-05,2007-06-07,3,6,6.9,1.5,68,66
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号(日光街道),c,2007-11-06,2007-11-13,3,7,7.0,1.5,71,70
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道１７号(中央通り),c,2008-02-05,2008-02-07,3,5,4.3,1.5,67,64
23,中央区日本橋小伝馬町20-3,35.692455,139.780502,JGD2011,国道６号(江戸通り),c,2007-06-05,2007-06-08,3,6,3.5,1.2,67,65
28,中央区京橋2-3-13,35.676655,139.771225,JGD2011,国道１５号(中央通り),c,2007-10-23,2007-10-26,3,5,3.5,1.2,67,65
31,中央区日本橋本町4-11,35.690647,139.775787,JGD2011,国道4号(昭和通り）,C,2007-09-19,2007-09-20,3,8,6.5,1.2,72,70
33,中央区日本橋1-5,35.683125,139.774536,JGD2011,国道1号(中央通り）,C,2007-09-19,2007-09-20,3,4,6.2,1.2,68,66
34,中央区京橋1-7,35.678383,139.771408,JGD2011,国道15号(中央通り）,C,2007-09-19,2007-09-20,3,4,6.4,1.2,68,66
37,中央区日本橋1-3,35.682995,139.773178,JGD2011,国道1号(中央通り）,C,2007-09-19,2007-09-20,3,6,6.0,1.2,70,68
39,港区白金台1-2,35.636738,139.730743,JGD2011,国道１号(桜田通り),ｃ,2007-12-06,2007-12-07,3,8,3.2,1.2,69,65
44,港区高輪2-13,35.634586,139.737762,JGD2011,国道１５号(第一京浜),ｃ,2007-12-06,2007-12-07,3,7,3.2,1.2,73,71
45,港区北青山3-3,35.668293,139.714828,JGD2011,国道２４６号（青山通り),ｃ,2007-11-27,2007-11-28,3,8,6.0,1.2,71,71
75,新宿区四谷3-13,35.687450,139.718674,JGD2011,国道２０号(新宿通り）,C,2008-02-19,2008-02-20,3,8,6.0,1.2,71,71
76,文京区白山5-20,35.725266,139.748322,JGD2011,国道17号（旧白山通り）,C,2007-12-11,2007-12-12,3,2,4.7,1.2,68,66
83,墨田区東向島1-28-11,35.718975,139.813736,JGD2011,国道６号(水戸街道),c,2007-09-03,2007-09-07,3,4,3.0,2.0,71,70
84,墨田区墨田4-61-9,35.729778,139.826065,JGD2011,国道６号(水戸街道),c,2007-09-03,2007-09-07,3,4,4.0,1.2,73,71
87,墨田区江東橋1-7-14,35.694637,139.810318,JGD2011,国道１４号(京葉道路),c,2007-10-01,2007-10-05,3,4,5.0,1.2,70,68
88,墨田区緑2-14-8,35.694542,139.802292,JGD2011,国道１４号(京葉道路),c,2007-10-01,2007-10-05,3,4,0.0,1.2,75,72
105,江東区亀戸7-42-5,35.696823,139.835480,JGD2011,国道１４号(京葉道路),c,2007-10-23,2007-10-24,3,6,3.5,2.3,73,71
114,江東区東雲2-5,35.640823,139.799210,JGD2011,国道３５７号(湾岸道路),c,2007-11-08,2007-11-09,3,4,4.0,1.5,74,73
125,江東区亀戸6-41,35.696480,139.830536,JGD2011,国道14（京葉道路）,C,2007-11-27,2007-11-28,3,8,6.7,1.2,70,67
126,江東区亀戸7-42,35.696823,139.835480,JGD2011,国道14（京葉道路）,C,2007-11-27,2007-11-28,3,7,4.5,1.2,73,71
131,品川区八潮5-8-47,35.597027,139.751862,JGD2011,国道３５７号（湾岸道路）,ｂ,2007-06-05,2007-06-08,3,4,35.0,1.2,62,60
138,品川区東大井3-18-34,35.600006,139.738266,JGD2011,国道１５号（第一京浜）,ｃ,2007-12-04,2007-12-07,3,4,2.5,1.5,73,70
139,品川区東中延2-5-10,35.607838,139.713608,JGD2011,国道１号（第二京浜）,ｃ,2008-01-22,2008-01-25,3,6,2.7,2.7,74,71
149,目黒区東山3-1-19,35.650799,139.685730,JGD2011,国道246号(玉川通り）,C,2008-02-13,2008-02-14,3,6,4.7,1.2,74,75
155,大田区大森中2-1,35.568119,139.730362,JGD2011,国道１５号（第一京浜）,c,2007-11-26,2007-11-29,4,6,4.2,2.3,72,70
156,大田区東六郷2-18,35.547951,139.716278,JGD2011,国道１５号（第一京浜）,c,2007-12-03,2007-12-06,4,6,4.9,2.2,73,72
