項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,2旧江戸川／浦安橋／二重測定,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,4新中川／小岩大橋／外部精度管理,5新川／新川橋,6隅田川／小台橋／,7隅田川／両国橋,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,34多摩川／和田橋,35秋川／東秋川橋,35秋川／東秋川橋／二重測定,36養沢川／新橋,37残堀川／立川橋,38程久保川／玉川橋,39三沢川／天神橋,39三沢川／天神橋／二重測定,40仙川／鎌田橋,41鶴見川／麻生橋,42成木川／両郡橋,43霞川／金子橋,44柳瀬川／清柳橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.07,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.020),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.05),0.034,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.07,0.02,-,pg/L,4.5,6.4,6.6,47,33,42,29,17,4.1,1.8,3.2,2.3,3.1,N.D.,0.43,0.46,2.4,2.2,1.3,1.2,1.6,1.5,1.6,0.24,N.D.,0.28,N.D.,N.D.,N.D.,N.D.,0.13,0.11,N.D.,0.46,1.4,2.2,2.1,N.D.,1.3,0.54,0.77,0.18
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.07,0.02,-,pg/L,1.5,2.1,2.2,17,12,15,10,6.1,1.5,0.8,1.1,0.77,1.1,N.D.,0.17,N.D.,0.95,0.89,0.41,0.59,0.58,0.49,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.06),N.D.,N.D.,0.2,0.45,0.68,0.69,N.D.,0.44,0.21,0.23,0.07
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,6.3,9,9.3,66,47,59,41,24,7.3,3.3,6.5,4.6,5.6,0.49,2,0.84,3.9,3.8,2.2,2.1,2.6,2.6,2.7,2.5,3.3,0.76,0.97,0.81,3.1,N.D.,0.19,0.11,N.D.,0.7,2.1,3.4,3.2,0.52,2.2,0.87,1,0.28
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.08,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,0.1,N.D.,0.081,N.D.,N.D.,N.D.,N.D.,(0.015),N.D.,N.D.,N.D.,N.D.,N.D.,0.056,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,0.51,1.1,1.2,7.6,6.2,6.8,5.9,3,0.58,N.D.,0.42,0.51,0.44,N.D.,N.D.,N.D.,1.4,1.6,N.D.,N.D.,0.78,N.D.,0.14,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.23,0.14,0.29,0.35,N.D.,0.15,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,N.D.,N.D.,N.D.,0.2,0.19,0.16,0.18,(0.11),N.D.,N.D.,N.D.,(0.02),N.D.,N.D.,N.D.,N.D.,(0.07),0.07,N.D.,N.D.,(0.15),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.17,0.05,0.1,pg/L,N.D.,(0.09),(0.09),0.49,0.45,0.46,0.41,0.28,(0.09),N.D.,N.D.,0.05,N.D.,N.D.,N.D.,N.D.,0.37,0.37,N.D.,(0.06),0.58,(0.05),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.07),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.16,0.05,0.1,pg/L,(0.08),(0.08),(0.11),0.53,0.32,0.43,0.39,0.23,N.D.,N.D.,(0.06),(0.03),N.D.,N.D.,N.D.,N.D.,0.19,0.2,N.D.,N.D.,0.34,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.06),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.54,0.62,1.1,4.8,3.8,4.3,3.8,2.6,0.7,0.15,0.63,0.47,0.43,N.D.,N.D.,N.D.,3.9,4.1,0.1,0.81,7.1,0.36,0.64,0.14,N.D.,N.D.,0.07,0.08,N.D.,N.D.,N.D.,N.D.,N.D.,0.92,0.09,0.35,0.23,0.09,0.14,0.11,0.06,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.19,0.06,0.01,pg/L,1.1,1.6,1.9,13,11,11,10,5.3,1.3,0.72,0.89,0.79,0.64,0.21,0.21,(0.18),8.2,8.9,0.41,1.6,13,0.93,1.1,(0.19),(0.10),(0.17),0.25,0.29,N.D.,N.D.,(0.07),N.D.,N.D.,1.1,0.31,1.2,0.95,(0.19),0.57,0.32,0.41,(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,2.3,3.3,4,27,23,23,21,11,2.7,1.6,1.8,1.6,1.4,0.38,0.42,0.42,15,17,0.94,3.2,24,1.8,2.5,0.49,0.25,0.38,0.56,0.64,0.33,N.D.,0.16,N.D.,N.D.,2.2,0.65,2.3,1.9,0.43,1.2,0.64,0.81,0.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.26,0.08,0.0003,pg/L,16,26,33,250,220,210,190,93,17,10,12,12,11,1.2,2.4,2.3,73,98,5.5,15,44,11,15,2.1,1,1.1,2.1,2,2.1,(0.21),0.39,0.36,(0.18),16,4.1,22,21,1.5,10,4.1,6.8,0.83
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,26,40,49,360,300,300,260,130,28,15,21,19,19,2.1,4.8,3.6,97,120,8.7,21,78,16,21,5.3,4.6,2.2,3.7,3.5,5.5,0.21,0.74,0.47,0.18,20,7.1,28,27,2.5,14,5.7,8.7,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.08,0.03,0.1,pg/L,(0.05),N.D.,N.D.,0.14,0.1,0.13,0.075,0.12,0.14,N.D.,(0.04),0.044,N.D.,N.D.,N.D.,(0.07),0.38,0.41,(0.04),0.1,(0.06),N.D.,(0.07),N.D.,N.D.,0.18,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.04),N.D.,(0.07),(0.04),N.D.,(0.04),N.D.,N.D.,N.D.
