項目名,毒性等価係数,千歳清掃工場周辺地区／世田谷区南烏山2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区祖師谷6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区船橋3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区桜上水3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,千歳清掃工場周辺地区／世田谷区上北沢2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市緑ヶ丘3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市神明台3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／羽村市双葉町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／瑞穂町むさし野1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,西多摩衛生組合環境ｾﾝﾀｰ周辺地区／瑞穂町箱根ヶ崎東松原／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.18,0.06,13,0.19,0.06,13,0.18,0.06,5.6,0.19,0.06,5.9,0.19,0.06,11,0.21,0.06,88,0.20,0.06,43,0.19,0.06,29,0.21,0.06,48,0.20,0.06,19
"1,3,7,9-TeCDD",0,0.18,0.06,6.0,0.19,0.06,7.1,0.18,0.06,2.8,0.19,0.06,2.8,0.19,0.06,5.3,0.21,0.06,44,0.20,0.06,24,0.19,0.06,19,0.21,0.06,27,0.20,0.06,8.0
"2,3,7,8-TeCDD",1,0.18,0.06,(0.16),0.19,0.06,0.36,0.18,0.06,(0.09),0.19,0.06,(0.10),0.19,0.06,0.27,0.21,0.06,2.9,0.20,0.06,5.5,0.19,0.06,1.4,0.21,0.06,2.0,0.20,0.06,0.41
"1,2,3,7,8-PeCDD",1,0.19,0.06,1.1,0.19,0.06,1.9,0.19,0.06,0.53,0.19,0.06,0.55,0.19,0.06,1.2,0.21,0.06,13,0.20,0.06,7.4,0.19,0.06,13,0.21,0.06,15,0.20,0.06,2.1
"1,2,3,4,7-PeCDD",0,0.19,0.06,1.7,0.19,0.06,3.0,0.19,0.06,0.88,0.19,0.06,0.61,0.19,0.06,1.3,0.21,0.06,16,0.20,0.06,9.2,0.19,0.06,12,0.21,0.06,13,0.20,0.06,0.48
"1,2,3,4,7,8-HxCDD",0.1,0.4,0.1,1.3,0.4,0.1,1.8,0.4,0.1,0.5,0.4,0.1,0.4,0.4,0.1,0.8,0.4,0.1,11,0.4,0.1,7.2,0.4,0.1,11,0.4,0.1,12,0.4,0.1,2.2
"1,2,3,6,7,8-HxCDD",0.1,0.3,0.1,2.4,0.3,0.1,3.6,0.3,0.1,1.2,0.3,0.1,1.1,0.3,0.1,1.9,0.4,0.1,21,0.3,0.1,13,0.3,0.1,17,0.4,0.1,21,0.3,0.1,3.9
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.1,2.2,0.5,0.1,3.5,0.5,0.1,1.1,0.5,0.1,1.5,0.5,0.2,2.3,0.6,0.2,24,0.5,0.2,13,0.5,0.2,19,0.6,0.2,21,0.5,0.2,4.1
"1,2,3,4,6,7,8-HpCDD",0.01,1.4,0.4,28,1.5,0.4,34,1.4,0.4,16,1.4,0.4,8.7,1.5,0.4,17,1.6,0.5,130,1.6,0.5,99,1.5,0.4,95,1.6,0.5,170,1.6,0.5,47
OCDD,0.0003,2.5,0.7,160,2.5,0.8,120,2.5,0.7,150,2.5,0.7,62,2.6,0.8,140,2.8,0.8,500,2.7,0.8,380,2.5,0.8,200,2.8,0.8,1300,2.7,0.8,800
