業種,平成28年度（%）,平成29年度（%）
合計,61.9,63.9
建設業,13.1,18.4
製造業,40.4,45.0
上下水道業,99.6,99.6
農業，林業,40.0,41.0
電気・ガス・熱供給業,0.0,5.3
情報通信業,29.4,16.7
運輸業,8.2,17.6
卸売業，小売業,30.5,30.6
不動産業，物品賃貸業,15.8,17.2
学術研究，専門・技術サービス業,32.3,36.4
宿泊業，飲食サービス業,38.5,36.0
生活関連サービス業，娯楽業,50.0,50.0
教育，学習支援業,38.5,38.5
医療，福祉,71.2,75.4
サービス業,20.0,26.3
自動車整備業,33.3,28.6
