測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成29年 6月27日,  0.5,0.06,0.08,0.07,0.03,0.06,0.03,0.04
平成29年 6月27日,  1.0,0.05,0.07,0.06,0.04,0.05,0.03,0.04
平成29年 6月20日,  0.5,0.07,0.07,0.07,0.04,0.05,0.03,0.04
平成29年 6月20日,  1.0,0.06,0.07,0.07,0.03,0.06,0.03,0.05
平成29年 6月13日,  0.5,0.07,0.08,0.07,0.04,0.07,0.04,0.05
平成29年 6月13日,  1.0,0.06,0.08,0.07,0.04,0.07,0.04,0.05
平成29年 6月6日,  0.5,0.07,0.08,0.07,0.04,0.06,0.04,0.04
平成29年 6月6日,  1.0,0.06,0.08,0.07,0.04,0.05,0.04,0.05
平成29年 5月30日,  0.5,0.05,0.07,0.06,0.04,0.06,0.03,0.03
平成29年 5月30日,  1.0,0.05,0.07,0.07,0.04,0.05,0.03,0.04
平成29年 5月23日,  0.5,0.05,0.08,0.07,0.03,0.06,0.03,0.04
平成29年 5月23日,  1.0,0.05,0.08,0.06,0.03,0.06,0.04,0.05
平成29年 5月15日,  0.5,0.05,0.08,0.07,0.04,0.06,0.03,0.04
平成29年 5月15日,  1.0,0.06,0.08,0.07,0.04,0.06,0.04,0.04
平成29年 5月9日,  0.5,0.07,0.07,0.06,0.03,0.06,0.04,0.04
平成29年 5月9日,  1.0,0.05,0.08,0.06,0.03,0.06,0.03,0.03
平成29年 5月2日,  0.5,0.05,0.07,0.07,0.04,0.06,0.04,0.04
平成29年 5月2日,  1.0,0.06,0.07,0.07,0.04,0.06,0.04,0.04
平成29年 4月25日,  0.5,0.06,0.08,0.06,0.04,0.06,0.03,0.04
平成29年 4月25日,  1.0,0.06,0.08,0.06,0.04,0.05,0.03,0.04
平成29年 4月17日,  0.5,0.05,0.07,0.04,0.03,0.04,0.03,0.04
平成29年 4月17日,  1.0,0.06,0.07,0.05,0.03,0.06,0.04,0.05
平成29年 4月12日,  0.5,0.05,0.08,0.06,0.03,0.06,0.03,0.03
平成29年 4月12日,  1.0,0.06,0.07,0.06,0.04,0.06,0.04,0.04
平成29年 4月4日,  0.5,0.06,0.08,0.03,0.04,0.05,0.03,0.05
平成29年 4月4日,  1.0,0.05,0.08,0.04,0.03,0.06,0.03,0.04
