年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
28,13,10,3,26,50.0,38.5,11.5
27,14,9,2,25,56.0,36.0,8.0
