年度,上下水道業の排出量（千t）,上下水道業を除く産業廃棄物排出量（千t）,全業種排出量（千t）
昭和57,10021,7257,17278
昭和62,12592,9361,21953
平成4　,13111,11677,24788
平成10,12354,12371,24725
平成15,12625,10952,23576
平成16,13219,11209,24428
平成17,13090,9700,22790
平成18,13136,11312,24448
平成19,13062,11045,24107
平成20,13084,8828,21912
平成21,14286,8903,23189
平成22,13877,8688,22565
平成23,14483,9271,23754
平成24,13779,9787,23566
平成25,13538,11055,24592
平成26,13102,11572,24674
平成27,12032,11667,23699
平成28,14676,12247,26923
