測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成29年 9月26日,  1.0,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05
平成29年 9月19日,  1.0,0.04,0.03,0.03,0.05,0.05,0.04,0.05,0.05
平成29年 9月12日,  1.0,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06
平成29年 9月5日,  1.0,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04
平成29年 8月29日,  1.0,0.04,0.03,0.03,0.03,0.05,0.04,0.05,0.04
平成29年 8月22日,  1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
平成29年 8月15日,  1.0,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05
平成29年 8月8日,  1.0,0.04,0.05,0.05,0.04,0.05,0.03,0.04,0.06
平成29年 8月1日,  1.0,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05
平成29年 7月25日,  1.0,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.04
平成29年 7月18日,  1.0,0.03,0.04,0.04,0.05,0.03,0.04,0.05,0.04
平成29年 7月11日,  1.0,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.06
平成29年 7月4日,  1.0,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04
