一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
577,稲城市坂浜2359,35.622749,139.482407,JGD2011,町田調布線（鶴川街道）,a,2004-08-24,2004-08-25,4,2,1.6,1.2,72,68
578,稲城市大丸124,35.644272,139.500458,JGD2011,川崎府中線（川崎街道）,B,2004-12-16,2004-12-17,4,4,5.0,1.2,72,68
579,稲城市大丸86,35.643898,139.499893,JGD2011,川崎府中線（川崎街道）,B,2004-12-16,2004-12-17,4,4,5.0,1.2,70,67
580,羽村市羽加美4-2-9,35.765034,139.299774,JGD2011,立川青梅線（奥多摩街道）,a,2004-05-25,2004-05-26,4,2,1.5,1.2,71,66
581,羽村市羽加美1-29-5,35.768253,139.307465,JGD2011,立川青梅線（新奥多摩街道）,b,2004-05-25,2004-05-26,4,2,3.5,1.2,66,63
582,羽村市富士見平2-20-1,35.762592,139.325638,JGD2011,羽村瑞穂線（羽村街道）,a,2004-05-18,2004-05-18,4,4,2.5,1.2,70,－
583,羽村市羽加美4-2-9,35.765034,139.299774,JGD2011,立川青梅線（奥多摩街道）,a,2004-11-25,2004-11-26,4,2,1.5,1.2,71,66
584,羽村市羽東2-1,35.761192,139.309967,JGD2011,立川青梅線,b,2004-11-25,2004-11-26,4,2,3.5,1.2,68,65
585,羽村市富士見平2-20-1,35.762592,139.325638,JGD2011,羽村瑞穂線（羽村街道）,a,2004-11-16,2004-11-16,4,4,2.5,1.2,70,－
586,羽村市羽西1-20,35.768478,139.299652,JGD2011,立川青梅線,A,2004-12-02,2004-12-03,4,2,1.5,1.2,73,68
587,羽村市羽加美4-1,35.766624,139.299927,JGD2011,立川青梅線,A,2004-12-02,2004-12-03,4,2,1.4,1.2,74,69
588,あきる野市小川638,35.721107,139.317123,JGD2011,瑞穂あきる野八王子線,a,2004-11-04,2004-11-05,4,2,1.0,1.2,72,67
590,あきる野市舘谷199,35.730366,139.231628,JGD2011,杉並あきる野線（五日市街道）,c,2004-11-04,2004-11-05,4,4,3.0,1.2,69,63
591,あきる野市小川837,35.720715,139.319839,JGD2011,杉並あきる野線（睦橋通り）,b,2004-11-04,2004-11-05,4,4,3.0,1.2,70,66
592,あきるの市山田723-2,35.726387,139.264984,JGD2011,杉並あきる野線,A,2004-12-06,2004-12-07,4,4,4.0,1.2,72,66
593,あきるの市山田726,35.725697,139.265015,JGD2011,杉並あきる野線,A,2004-12-06,2004-12-07,4,4,5.2,1.2,72,66
594,西東京市田無町1-1,35.731247,139.542877,JGD2011,新宿青梅線（新青梅街道）,b,2004-12-08,2004-12-09,4,4,3.0,1.5,74,73
596,西東京市向台町2-5-1,35.720837,139.542542,JGD2011,調布田無線（武蔵境通り）,b,2004-12-01,2004-12-02,4,2,6.0,1.5,68,65
597,西東京市田無町6-3-12,35.729973,139.531281,JGD2011,新宿青梅線（青梅街道）,b,2004-12-07,2004-12-08,4,2,2.0,1.5,70,68
598,西東京市保谷町1-19-11,35.732288,139.555161,JGD2011,杉並田無線（新青梅街道）,b,2004-11-30,2004-12-01,4,2,2.0,1.5,70,68
599,西東京市柳沢1-11-9,35.725906,139.553146,JGD2011,東京所沢線（青梅街道）,c,2004-06-02,2004-06-03,4,6,1.0,1.5,75,74
600,西東京市住吉町6-1-5,35.743519,139.551392,JGD2011,保谷志木線,a,2004-06-08,2004-06-03,4,2,2.0,1.5,68,65
605,西多摩郡日の出町大久野7003,35.753010,139.234390,JGD2011,青梅あきる野線（秋川街道）,C,2004-12-02,2004-12-03,4,2,1.5,1.2,71,65
606,西多摩郡日の出町大久野7056,35.749756,139.240509,JGD2011,青梅あきる野線（秋川街道）,C,2004-12-02,2004-12-03,4,2,1.6,1.2,71,65
