レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,138.7以下,12,612,252.1
A3+,0.55超-0.60以下,138.7超-151.3以下,3,709,252.1
A3,0.60超-0.65以下,151.3超-163.9以下,2,850,252.1
A3-,0.65超-0.70以下,163.9超-176.5以下,9,472,252.1
A2+,0.70超-0.75以下,176.5超-189.1以下,8,758,252.1
A2,0.75超-0.80以下,189.1超-201.7以下,12,574,252.1
A2-,0.80超-0.85以下,201.7超-214.3以下,14,623,252.1
A1+,0.85超-0.90以下,214.3超-226.9以下,9,680,252.1
A1,0.90超-0.95以下,226.9超-239.5以下,9,598,252.1
A1-,0.95超-1.00以下,239.5超-252.1以下,10,854,252.1
B2+,1.00超-1.05以下,252.1超-264.8以下,20,608,252.1
B2,1.05超-1.10以下,264.8超-277.4以下,10,551,252.1
B2-,1.10超-1.15以下,277.4超-290.0以下,10,774,252.1
B1,1.15超-1.50以下,290.0超-378.2以下,33,661,252.1
C,1.50超,378.2超,7,340,252.1
