No.,区市町村名,可燃ごみ,不燃ごみ,粗大ごみ,資源ごみ,有害ごみ,合計
1,千代田区,14985,639,476,4116,0,20216
2,中央区,32638,1375,1336,7237,0,42586
3,港区,49964,1491,1540,15249,0,68244
4,新宿区,67088,2258,2303,13783,0,85433
5,文京区,39970,1597,1317,8346,0,51230
6,台東区,39692,2506,1348,6373,0,49919
7,墨田区,50950,1889,1951,7343,0,62133
8,江東区,89231,0,3301,15400,0,107931
9,品川区,67269,2735,2242,15320,0,87566
10,目黒区,48798,2169,2274,6757,0,59998
11,大田区,125703,4289,3921,22354,0,156266
12,世田谷区,163414,4466,6686,36706,0,211272
13,渋谷区,48189,2026,1427,10898,0,62540
14,中野区,54847,2216,1782,7321,0,66166
15,杉並区,90508,3054,3559,30203,0,127323
16,豊島区,52589,2034,2013,11103,0,67738
17,北区,62489,1577,1694,11956,0,77715
18,荒川区,40572,1667,1282,200,0,43721
19,板橋区,102708,2453,3267,13614,0,122041
20,練馬区,120356,4882,4472,29398,0,159108
21,足立区,130276,263,2722,15663,0,148924
22,葛飾区,79733,3512,2914,16904,0,103064
23,江戸川区,123193,2719,4074,19925,0,149911
24,八王子市,115408,6073,2397,32154,372,156404
25,立川市,27580,2009,1165,12341,59,43154
26,武蔵野市,26331,1118,1412,10633,84,39578
27,三鷹市,27199,1658,1791,14152,56,44856
28,青梅市,27297,1341,1374,7080,54,37146
29,府中市,36914,3337,1978,15597,86,57912
30,昭島市,21350,1370,1041,6538,43,30342
31,調布市,32356,3489,1537,18640,78,56102
32,町田市,85037,6050,3652,16669,141,111549
33,小金井市,12515,3769,914,8229,38,25465
34,小平市,32992,4698,1154,9781,68,48693
35,日野市,26876,5367,1323,8958,58,42582
36,東村山市,23985,1980,1378,8877,54,36274
37,国分寺市,16212,1724,805,8832,48,27621
38,国立市,14385,1620,646,4512,24,21187
39,福生市,11079,546,559,3821,21,16026
40,狛江市,13059,884,317,4748,20,19028
41,東大和市,14462,616,310,4721,31,20140
42,清瀬市,12285,1364,84,4050,28,17811
43,東久留米市,21203,2259,162,6092,36,29752
44,武蔵村山市,14182,909,263,4269,27,19650
45,多摩市,30081,1022,1183,6567,42,38895
46,稲城市,16972,1162,432,3292,30,21888
47,羽村市,11084,380,591,4203,23,16281
48,あきる野市,18071,354,826,4192,36,23479
49,西東京市,29689,3326,192,13606,58,46871
50,瑞穂町,8314,312,427,2549,16,11618
51,日の出町,4351,66,145,636,6,5204
52,檜原村,590,14,55,173,0,832
53,奥多摩町,1346,30,67,484,4,1931
54,大島町,3096,147,124,313,7,3687
55,利島村,94,3,0,12,0,109
56,新島村,1040,405,4,38,0,1487
57,神津島村,1401,59,449,30,0,1939
58,三宅村,1239,116,81,0,0,1436
59,御蔵島村,250,5,8,4,1,268
60,八丈町,3014,96,0,593,3,3706
61,青ヶ島村,83,20,0,0,0,103
62,小笠原村,669,0,27,429,21,1146
