年度,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,混合廃棄物（千t）,その他（千t）,合計（千t）
昭和57,33,1415,33,0,0,1455
昭和62,21,2422,10,0,189,2642
平成4　,200,2882,9,0,98,3189
平成10,1237,3428,44,30,114,4853
平成15,448,5257,60,110,271,6146
平成16,603,4388,88,145,225,5449
平成17,962,4791,44,16,371,6184
平成18,994,5419,214,218,296,7140
平成19,826,5288,162,212,319,6807
平成20,903,3806,87,174,251,5221
平成21,1025,4232,63,140,233,5693
平成22,980,4120,84,131,289,5604
平成23,1066,4298,88,174,343,5969
平成24,1254,4575,110,151,403,6493
平成25,1677,5577,187,175,186,7803
平成26,1675,5942,206,183,391,8397
平成27,1614,6499,99,158,365,8735
平成28,1777,6147,163,155,494,8736
