物質番号,適正管理化学物質名,報告数（件）,使用量（kg/年）,製造量（kg/年）,製品としての出荷量（kg/年）,環境への排出量（kg/年）,環境への排出量／大気（kg/年）,環境への排出量／公共用水域（kg/年）,環境への排出量／その他（kg/年）,事業所外への移動量（kg/年）,事業所外への移動量／廃棄物（kg/年）,事業所外への移動量／廃水(下水道）（kg/年）,排出量、移動量の合計（kg/年）,順位
1,アクロレイン,,,,,,,,,,,,0,42
2,アセトン,193,555237,0,104220,79534,79323,210,0,265887,262242,3960,345421,11
3,イソアミルアルコール,2,67240,0,50,290,290,0,0,3170,3170,0,3460,33
4,イソプロピルアルコール,240,849820,0,283844,284955,284955,0,0,102456,92988,8681,387410,8
5,エチレン,,,0,,0,0,0,0,,,,0,42
6,塩化スルホン酸,,,,,,,,,,,,0,42
7,塩化ビニルモノマー,,,,,,,,,,,,0,42
8,塩酸,324,29529277,0,1241390,11120,11120,0,0,298123,298063,20,309243,12
9,塩素,13,325710,0,0,0,0,0,0,130,130,0,130,40
10,カドミウム及びその化合物,4,3530,0,3145,0,0,0,0,390,390,0,390,37
11,キシレン,1330,175068998,0,173826030,334498,334504,0,0,149952,148516,1434,484450,6
12,クロム及び三価クロム化合物,104,116402,0,101695,0,0,0,0,54133,53812,421,54133,21
13,六価クロム化合物,95,94356,0,14056,0,0,0,0,9065,9058,7,9065,28
14,クロルピクリン,,,,,,,,,,,,0,42
15,クロロホルム,76,92079,0,0,9566,9561,0,5,80250,80140,26,89816,19
16,酢酸エチル,214,1877757,0,1275491,291335,291174,279,0,303273,301463,1834,594608,4
17,酢酸ブチル,150,934613,0,550630,254168,254168,0,0,94908,93908,940,349077,10
18,酢酸メチル,2,551,0,0,550,550,0,0,1,1,0,551,36
19,酸化エチレン,19,5829,0,0,841,841,0,0,1195,675,520,2036,35
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化合物）,98,96035,0,31380,151,150,1,0,15370,15156,117,15521,24
21,四塩化炭素,2,110,0,0,2,2,0,0,94,94,0,96,41
22,"1,2-ジクロロエタン",2,4004,0,3800,0,0,0,0,203,203,0,203,38
23,"1,1-ジクロロエチレン",,,,,,,,,,,,0,42
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,0,42
25,"1,3-ジクロロプロペン",,,,,,,,,,,,0,42
26,ジクロロメタン,101,430970,130,7860,294610,292910,0,0,73125,72925,65,367735,9
27,シマジン,,,,,,,,,,,,0,42
28,臭素化合物（臭化メチルに限る）,5,3296,0,0,3296,3296,0,0,0,0,0,3296,34
29,硝酸,209,3154242,0,953400,1300,1300,0,0,96270,94750,1514,97570,18
30,水銀及びその化合物,2,520,0,240,2,2,0,0,167,167,0,169,39
31,スチレン,20,81375,0,5963,3725,3725,0,0,669,669,0,4394,32
32,セレン及びその化合物,1,200,0,200,0,0,0,0,0,0,0,0,42
33,チウラム,1,120,0,120,0,0,0,0,0,0,0,0,42
34,チオベンカルブ,,,,,,,,,,,,0,42
35,テトラクロロエチレン,152,145532,0,50,83352,83352,0,0,60541,60596,2,143893,15
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,0,42
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,0,42
38,トリクロロエチレン,139,521580,0,13630,397183,394583,0,0,95247,95247,0,492430,5
39,トルエン,1363,353047069,770,350131778,502731,502782,118,0,277703,273167,4509,780434,3
40,鉛及びその化合物,42,1032805,0,958822,11,11,0,0,110756,110756,3,110767,17
41,ニッケル,141,444770,0,442158,0,0,0,0,6699,6689,11,6699,29
42,ニッケル化合物,136,117402,0,46640,50,0,50,0,58294,57172,1105,58344,20
43,二硫化炭素,,,0,0,0,0,0,0,,,,0,42
44,砒素及びその無機化合物,3,10700,0,1400,0,0,0,0,9300,9300,0,9300,27
45,ＰＣＢ,,0,0,0,0,0,0,0,,,,0,42
46,ピリジン,1,25000,0,0,50,50,0,0,25000,25000,0,25050,23
47,フェノール,11,458520,210,320600,480,480,0,0,5318,5318,0,5798,31
48,ふっ化水素及びその水溶性塩,43,1336401,0,104439,1289,1289,0,0,1015704,1013310,2351,1016993,2
49,ヘキサン,1114,84662549,860,84101662,158996,158996,0,0,113954,113374,588,272949,13
50,ベンゼン,1002,16770950,370,16672510,11725,11725,0,0,425,415,2,12150,26
51,ホルムアルデヒド,51,2054681,0,11635,9185,9185,0,0,18376,17457,939,27562,22
52,マンガン及びその化合物,33,2188410,0,2155272,50,0,50,0,12621,12402,114,12671,25
53,メタノール,283,4557036,51000,1381228,106908,106840,80,0,310044,301595,8577,416952,7
54,メチルイソブチルケトン,102,578101,0,445283,60245,60245,0,0,76085,75985,150,136330,16
55,メチルエチルケトン,102,1388275,0,1165528,124988,124988,0,0,88737,88336,401,213726,14
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,0,42
57,硫酸,427,42298306,0,24472680,2661,2661,0,0,1607509,1606897,600,1610170,1
58,ほう素及びその化合物,38,133252,0,126310,6,6,0,0,5955,4668,1290,5961,30
合計,,8390,725063609,53340,660955139,3029851,3025063,788,5,5447098,5406200,40179,8476949,－
