産業廃棄物別の名称,排出量(t),割合(%)
がれき類,6811138,47.8
汚泥,3909927,27.5
ガラス・コンクリート・陶磁器くず,853244,6.0
廃プラスチック類,754925,5.3
木くず,621049,4.4
その他混合廃棄物,303922,2.1
建設混合廃棄物（管理型混合廃棄物）,271769,1.9
金属くず,220477,1.5
その他,495712,3.5
合計,14242161,100.0
