業種,平成28年度（千t）,平成29年度（千t）
合計,9689,9252
建設業,8736,8385
製造業,640,549
上下水道業,26,25
農業，林業,24,23
電気・ガス・熱供給業,15,15
情報通信業,12,14
運輸業,42,39
卸売業，小売業,84,85
不動産業，物品賃貸業,40,42
学術研究，専門・技術サービス業,19,18
宿泊業，飲食サービス業,13,13
生活関連サービス業，娯楽業,1,2
教育，学習支援業,11,12
医療，福祉,13,13
サービス業,9,12
自動車整備業,4,5
