項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,3中川／平井小橋／外部精度管理,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,8新河岸川／志茂橋／外部精度管理,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27谷地川／下田橋下,28浅川／中央道北浅川橋,29南浅川／横川橋,30湯殿川／春日橋,31大栗川／向ノ岡大橋,32野川／天神森橋,33恩田川／都橋,34境川／鶴間一号橋,34境川／鶴間一号橋／二重測定,35黒沢川／落合橋,36空堀川／梅坂橋,37黒目川／神宝大橋,37黒目川／神宝大橋／二重測定
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,6.0,6.2,33,29,36,2.7,27,1.2,0.99,17,16,17,5.7,0.37,0.45,1.5,1.4,2.8,1.0,1.9,1.8,1.7,1.7,0.22,0.18,0.29,0.44,1.0,0.27,0.15,20,(0.07),2.1,(0.09),(0.07),0.31,0.16,0.19,0.27,0.43,0.33,41,0.22,0.29,0.29
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,1.9,1.9,12,10,13,0.90,10,0.42,0.31,6.2,5.8,6.3,2.1,0.14,0.17,0.59,0.54,0.86,0.33,0.69,0.58,0.65,0.64,(0.08),(0.06),(0.08),0.12,0.42,(0.08),(0.05),6.4,ND,0.73,(0.04),(0.04),(0.10),(0.06),(0.07),0.12,0.11,0.10,14,(0.06),0.11,0.11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,8.3,8.6,46,41,51,3.9,39,2.3,2.1,25,23,24,9.1,1.6,1.3,2.5,2.4,9.0,1.6,3.5,3.2,2.9,2.8,2.0,2.6,0.37,0.56,3.1,1.9,0.20,27,(0.07),3.2,0.20,0.14,0.75,0.33,0.58,0.65,1.8,1.7,56,0.33,0.40,0.40
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,(0.08),(0.09),(0.07),ND,(0.09),ND,ND,(0.07),(0.05),(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.05),ND,ND,(0.03),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.05),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.03),(0.07),0.13,(0.09),0.14,ND,0.16,ND,ND,(0.07),(0.06),(0.06),ND,ND,ND,(0.06),(0.03),ND,ND,(0.04),ND,0.12,(0.06),ND,ND,ND,ND,0.11,ND,ND,(0.06),ND,(0.07),ND,ND,ND,ND,ND,ND,ND,ND,0.12,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,1.2,1.2,5.9,6.3,6.5,0.65,5.5,0.33,0.29,3.5,3.3,3.3,1.3,0.22,0.22,0.63,0.55,0.61,0.64,0.40,0.47,0.85,0.67,0.15,0.16,0.11,0.32,1.1,0.18,ND,3.3,ND,0.86,ND,ND,(0.06),ND,(0.06),ND,0.14,(0.09),6.2,(0.06),0.14,0.11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.07),(0.17),(0.17),(0.14),ND,(0.17),ND,ND,(0.08),(0.08),(0.08),ND,ND,ND,ND,ND     ,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.08),ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.13),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,ND,(0.08),0.40,0.38,0.36,(0.07),0.37,ND,ND,0.21,(0.18),(0.15),ND,ND,ND,(0.15),(0.17),ND,ND,ND,ND,(0.15),(0.12),ND,ND,ND,ND,(0.15),ND,ND,(0.17),ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,0.29,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,0.36,0.34,0.34,ND,0.33,ND,ND,(0.19),(0.14),(0.15),ND,ND,ND,(0.07),(0.08),ND,ND,ND,ND,(0.11),ND,ND,ND,ND,ND,(0.12),ND,ND,(0.12),ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,0.21,ND,ND,ND
