,処理量（千t）,比率（%）
東京都,18769,69.3
埼玉県,3104,13.4
千葉県,3276,10.6
神奈川県,1118,4.9
栃木県,383,1.5
茨城県,34,0.2
群馬県,56,0.1
合計,26740,100.0
