測定日,測定位置（高さ(m)）,B1（μSv/h）,B2（μSv/h）,B3（μSv/h）,B4（μSv/h）,B5（μSv/h）,B6（μSv/h）,B7（μSv/h）,B8（μSv/h）
平成29年 3月28日,  1.0,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04
平成29年 3月22日,  1.0,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.04
平成29年 3月14日,  1.0,0.07,0.04,0.04,0.03,0.05,0.05,0.02,0.03
平成29年 3月7日,  1.0,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.04
平成29年 2月28日,  1.0,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.03
平成29年 2月21日,  1.0,0.05,0.03,0.05,0.03,0.03,0.03,0.05,0.04
平成29年 2月14日,  1.0,0.04,0.06,0.05,0.04,0.04,0.03,0.05,0.03
平成29年 2月7日,  1.0,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.04
平成29年 1月31日,  1.0,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.03
平成29年 1月24日,  1.0,0.06,0.05,0.04,0.06,0.04,0.03,0.04,0.05
平成29年 1月17日,  1.0,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.04
平成29年 1月10日,  1.0,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04
平成29年 1月5日,  1.0,0.05,0.05,0.05,0.05,0.03,0.03,0.04,0.04
