種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,10506,22,47,10437,9062,8714,348,8736,1375,395
燃え殻,,,,4,0,1,3,3,1,2,1,0,3
汚泥,,,,3184,0,0,3184,1866,1777,89,1777,1318,89
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3029,0,0,3029,1757,1704,53,1704,1272,53
汚泥,その他の汚泥,,,155,0,0,155,109,73,36,73,46,36
廃油,,,,3,0,0,3,2,2,0,2,1,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,1,0,0,1,1,1,0,1,0,0
廃プラスチック類,,,,85,0,0,85,81,74,7,74,4,7
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,88,0,0,88,87,87,0,87,1,0
ガラス・陶磁器くず,,,,196,0,0,196,195,163,32,163,1,32
鉱さい,,,,11,0,0,11,8,7,1,7,3,1
がれき類,,,,6256,22,0,6234,6226,6125,101,6147,8,101
がれき類,コンクリート塊,,,4213,19,0,4194,4194,4182,12,4201,0,12
がれき類,アスファルト･コンクリート塊,,,1168,3,0,1165,1158,1156,2,1159,7,2
がれき類,その他のがれき類,,,875,0,0,875,874,787,87,787,1,87
石綿含有産業廃棄物,,,,65,0,38,27,24,9,15,9,3,53
ばいじん,,,,0,0,0,0,0,0,0,0,0,0
紙くず,,,,27,0,0,27,25,25,0,25,2,0
木くず,,,,282,0,0,282,268,266,2,266,14,2
繊維くず,,,,32,0,0,32,20,18,2,18,12,2
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,4,0,0,4,3,3,0,3,1,0
混合廃棄物,,,,259,0,1,258,252,155,97,155,6,98
その他,,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,9,0,7,2,1,1,0,1,1,7
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃酸,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃アルカリ,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,9,0,7,2,1,1,0,1,1,7
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,9,0,7,2,1,1,0,1,1,7
特別管理産業廃棄物,特定有害廃棄物,その他,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
