項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,37小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,ND,ND,0.4,ND,1.5,2.6,0.9,1,(0.10),(0.1),0.9,(1.20),0.3,8.6,7.7,2.2,3.0,9.8,1.0,1.1,1.7,ND,ND,ND,ND,0.3,ND,ND,ND,ND,ND,(0.10),ND,ND,ND,ND,ND,ND,ND,ND,(0.1),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,17,13,290,110,490,240,170,120,10,46,70,230,30,450,350,320,200,710,74,91,93,4.0,1.8,3.1,3.1,14,2.0,0.3,1.8,1.7,2.6,6.7,14,5.1,36,3.1,2.8,2.3,20,4.5,17,4.7,6.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,5.8,4.3,110,40,190,100,66,53,3.9,17,29,94,12,220,190,130,91,330,34,45,47,1.6,0.8,1.3,1.4,6.7,1.0,(0.1),0.5,0.6,1.0,2.5,5.0,1.7,11,1.0,0.9,1.0,6.6,1.3,5.5,1.7,2.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,23,18,410,160,720,380,260,200,16,71,120,360,53,760,620,520,350,1100,130,160,160,8.8,5.0,5.2,5.6,50,5.7,0.4,2.3,2.3,4.7,12,23,7.9,51,5.2,4.5,6.6,29,7.0,24,7.1,12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,ND,ND,1.0,0.3,4.3,1.9,1.3,1.3,(0.10),0.6,(1.20),1.7,0.7,6.9,7.7,3.1,3.5,8.1,1.0,1.9,1.6,(0.2),ND,ND,ND,2.0,(0.2),ND,ND,ND,(0.10),0.6,0.5,(0.20),(0.20),ND,ND,(0.2),(0.10),(0.1),0.4,(0.10),0.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,(0.10),(0.1),1.2,0.5,7.4,3.0,2.2,1.4,0.4,1.1,1.8,2.8,1.2,12,9.2,5.6,6.3,15,1.9,4.1,4.2,0.4,(0.2),0.4,0.3,3.3,0.7,ND,ND,ND,(0.2),0.8,0.7,(0.30),1.0,0.3,0.3,0.4,0.3,0.3,0.4,(0.30),1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,3.4,3.3,61,20,150,65,46,43,3.2,17,30,63,17,190,200,110,94,290,28,55,52,4.2,1.9,3.8,3.1,36,3.4,ND,0.7,0.7,2.6,9.4,8.7,2.9,14,1.6,1.6,3.3,5.1,2.4,7.2,2.7,13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,1.1,(0.5),5.5,2.6,1.6,1.3,ND,(0.60),1.1,(2.20),0.9,9.9,11,4.1,4.5,11,1.0,2.1,1.3,ND,ND,ND,ND,1.4,ND,ND,ND,ND,ND,(0.6),(0.4),(0.2),(0.4),ND,ND,ND,ND,ND,(0.30),ND,1.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,(0.20),(0.2),3.3,0.9,13,5.5,4.2,3.7,(0.40),1.2,(2.70),5.4,1.9,64,65,11,21,28,5.9,11,10,(0.3),ND,(0.3),(0.4),4.0,(0.3),ND,ND,ND,ND,0.7,(0.80),(0.50),(0.70),ND,ND,(0.4),(0.30),(0.2),(0.50),ND,2.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,3.2,1.0,9.9,3.8,3.4,3.1,(0.40),(0.80),(2.10),4.5,1.5,32,29,7.1,11,19,3.3,5.5,5.4,(0.3),ND,(0.4),(0.3),3.0,(0.6),ND,ND,ND,ND,1.0,(0.50),(0.50),(0.70),ND,ND,(0.3),(0.30),ND,(0.70),(0.3),2.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,2.4,2.5,34,11,190,60,48,42,6.0,16,32,64,24,570,570,120,230,340,58,130,120,4.6,2.0,4.9,4.3,51,7.1,(0.2),1.0,1.1,3.0,12,10,7.3,12,2.7,2.8,4.9,4.0,3.0,10,2.9,28
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,3.7,3.2,88,25,230,110,98,78,4.9,14,58,140,28,1400,1300,260,450,670,160,240,250,4.6,1.6,3.6,3.7,30,4.3,(0.3),1.1,1.0,1.3,17,11,8.0,12,2.0,2.3,3.2,5.0,2.5,13,2.4,30
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,7.7,7.0,180,51,610,200,200,150,12,28,110,270,59,2500,2300,520,1000,1400,310,570,580,9.3,3.3,7.5,7.6,65,13,(0.6),2.4,2.2,2.5,33,22,16,25,5.4,6.1,6.6,10,4.7,25,4.5,62
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,54,50,1600,480,3600,1400,1400,1100,66,150,630,1800,270,14000,12000,3100,5600,7300,1400,2800,3500,40,12,30,30,190,44,(0.9),14,13,4.4,230,140,53,170,24,36,25,72,30,160,19,210
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,91,81,2300,720,5300,2100,2000,1500,100,280,920,2600,420,18000,16000,4400,7300,10000,1900,3700,4400,67,24,51,51,390,73,2.1,20,19,17,300,200,87,270,39,51,46,120,47,230,36,330
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,(0.2),0.4,0.8,0.4,13,11,5.0,5.2,(0.20),0.8,3.0,6.4,2.3,290,230,13,27,36,8.8,6.8,7.0,0.5,0.4,0.7,0.7,4.9,(0.2),ND,ND,ND,(0.2),0.4,0.3,(0.10),(0.40),ND,ND,(0.2),(0.20),(0.1),(0.30),(0.10),1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,ND,ND,1.0,0.4,4.1,3.3,2.4,2.6,(0.10),1.0,1.6,3.3,1.3,19,22,7.0,8.3,24,3.0,3.4,3.3,0.4,(0.2),0.3,0.3,1.8,(0.2),ND,ND,ND,(0.2),0.4,0.4,(0.20),0.6,ND,ND,0.4,(0.30),(0.2),0.4,(0.10),0.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,(0.20),(0.2),0.7,0.4,9.7,9.8,4.2,4.5,(0.10),1.0,3.1,5.5,2.1,250,220,11,23,34,7.2,6.9,6.6,0.6,0.4,0.9,0.8,4.7,0.4,ND,ND,ND,0.4,0.5,0.5,(0.20),0.6,ND,ND,0.3,0.3,(0.2),0.4,(0.20),1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,2.5,1.9,25,12,150,97,66,64,2.7,26,45,85,38,1100,1000,150,200,440,82,97,96,11,6.6,10,10,93,6.9,ND,1.3,1.3,8.5,14,12,5.4,17,1.0,1.4,8.1,7.0,4.2,12,3.8,28
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,(0.2),(0.20),1.1,0.5,11,8.2,4.8,3.2,(0.1),1.5,3.7,5.7,2.6,220,140,12,28,33,5.3,7.1,7.4,0.6,0.3,0.7,0.7,6.7,0.4,ND,ND,ND,0.4,0.8,1.0,0.4,1.2,(0.10),ND,0.5,0.4,(0.2),0.8,(0.2),2.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,(0.1),(0.1),0.9,0.4,9.6,6.1,3.5,3,(0.10),1.3,2.9,4.4,2.1,130,110,9.7,17,26,3.6,4.7,4.6,0.5,0.3,0.5,0.6,6.3,0.3,ND,(0.10),(0.10),0.5,1.0,0.8,0.4,0.9,(0.1),(0.10),0.5,0.3,(0.2),0.7,(0.2),2.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,2.5,1.8,20,7.5,140,73,56,55,2.0,24,39,68,35,870,770,160,190,360,51,83,85,8.5,4.8,8.9,9.0,95,7.4,ND,0.7,1.3,5.8,15,14,5.9,19,2.1,2.0,7.9,6.3,3.5,14,3.7,33
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.30),(0.20),2.4,0.7,17,11,8.2,6.1,(0.30),1.9,5.4,10,4.1,210,200,21,40,54,11,12,13,0.8,(0.4),0.8,(0.6),9.3,0.7,ND,ND,ND,(0.3),1.6,(1.00),(0.70),(1.60),(0.20),ND,0.7,(0.40),(0.5),1.4,(0.30),3.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.30),(0.2),1.6,(0.5),15,7.6,5.1,4.2,ND,1.9,3.7,6.8,3.4,71,70,14,18,35,5.1,6.0,6.3,0.7,(0.5),0.7,(0.6),7.1,(0.4),ND,ND,ND,(0.4),1.4,(1.10),(0.80),(1.40),ND,ND,(0.6),(0.30),(0.3),1.4,(0.40),3.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,ND,ND,ND,ND,2.7,(0.80),(0.5),0.7,ND,ND,(0.4),0.9,(0.40),5.7,5,2.2,2.5,3.5,(0.5),2.9,3.0,ND,ND,ND,ND,0.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(1.00)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.3),ND,2.0,(0.6),17,7.6,5.2,5.4,(0.30),2.5,4.2,7.3,4.5,35,51,13,13,34,3.7,5.1,5.7,0.8,(0.6),0.7,0.7,9.2,(0.6),ND,ND,ND,(0.4),2.4,1.7,(1.00),2.4,(0.30),(0.20),0.8,(0.50),(0.5),2.2,(0.40),6.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,2.7,2.4,38,12,170,84,82,63,2.6,22,44,100,44,980,970,210,310,480,110,140,150,9.4,5.1,7.3,6.4,87,5.8,ND,0.7,0.8,3.8,19,15,8.2,18,2.0,1.8,6.2,5.2,3.6,19,3.8,45
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,1.1,1.0,16,4.0,71,58,52,38,1.2,8.2,(30.00),63,20,1000,990,160,360,370,98,120,110,3.2,1.5,2.3,2.3,34,2.6,(0.4),(0.60),(0.60),1.6,8.2,5.5,4.4,6.7,0.9,0.7,2.5,1.7,1.4,7.1,1.6,22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,(0.2),ND,3.2,0.8,11,8.7,6.3,4.4,(0.30),1.1,3.5,8.9,3.4,77,73,17,31,42,13,13,18,(0.5),ND,(0.4),(0.3),4.1,(0.5),ND,ND,ND,ND,1.6,(1.30),(0.80),(1.10),ND,ND,(0.4),(0.30),ND,2.1,(0.40),5.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,2.4,2.3,45,11,160,150,140,93,2.8,16,74,170,45,2900,2800,450,1000,1000,310,320,340,7.2,2.7,4.5,4.2,54,4.7,(0.4),1.0,1.0,2.3,17,11,7.7,13,1.4,1.5,4.6,3.3,2.4,16,3.2,44
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,2.0,2.0,38,9.4,130,170,150,120,2.1,8.4,72,190,36,3500,3700,540,1100,1400,440,330,330,4.5,(1.3),2.2,2.3,20,2.3,(0.50),(0.5),(0.70),(0.90),11,5.3,3.6,7.0,(0.9),(0.80),2.3,(2.00),(1.2),8.9,(1.10),25
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,12,10,170,52,750,570,490,400,12,96,270,610,200,9400,9200,1500,2800,3700,990,970,1000,41,21,33,32,350,27,0.9,4.2,5.1,21,76,57,31,74,7.4,7.5,29,24,15,70,16,180
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,100,91,2500,770,6000,2700,2400,1900,120,380,1200,3200,620,27000,25000,5900,10000,14000,2900,4700,5400,110,45,84,83,740,100,3,25,24,39,370,260,120,350,46,59,76,140,62,300,52,500
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,(0.40),ND,2.2,0.9,71,45,18,13,(0.50),3.4,26,22,10,430,370,57,77,370,190,300,290,7.6,1.6,1.0,1.0,69,1.7,ND,(0.3),(0.3),(0.40),1.3,1.3,(0.60),(1.10),(0.20),ND,1.1,(0.40),(0.3),(0.70),(0.20),5.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,19,8.1,220,40,1300,4200,1400,1100,64,70,1700,1800,400,16000,16000,3500,5600,16000,2900,2800,2900,150,30,23,23,1800,41,0.7,4.0,3.9,4.5,26,24,10,19,4.6,2.8,25,8.8,4.5,10,5.6,74
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,(0.40),(0.20),4.9,1.3,37,49,26,18,0.9,5.3,(29.00),27,18,290,250,62,86,270,40,65,67,7.2,1.5,2.7,2.7,67,2.1,ND,(0.30),(0.30),0.7,2.0,2.4,0.9,2.4,(0.30),(0.30),1.5,0.8,(0.4),1.3,(0.70),5.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,ND,ND,(0.4),ND,2.7,6.5,2.3,2,(0.30),(0.70),(2.10),(3.10),1.1,13,19,5.2,6.7,16,3.7,2.8,3.6,(0.3),ND,(0.3),(0.3),2.5,ND,ND,ND,ND,ND,(0.4),(0.30),ND,(0.50),ND,ND,(0.2),ND,(0.20),(0.40),ND,1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,20,8.3,230,42,1400,4300,1400,1100,66,79,1800,1900,430,17000,17000,3600,5800,17000,3100,3200,3300,170,33,27,27,1900,45,0.7,4.6,4.5,5.6,30,28,12,23,5.1,3.1,28,10,5.4,12,6.5,86
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,(0.4),(0.20),5.6,1.8,56,64,52,70,1.1,7.8,78,45,150,850,1000,120,160,880,120,130,170,38,4.7,6.1,4.5,250,6.8,ND,1.1,1.1,(0.5),1.7,2.7,0.7,2.3,(0.3),(0.4),2.3,1.6,(0.5),1.1,0.7,6.2
