測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成28年 3月30日,  1.0,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.04
平成28年 3月23日,  1.0,0.04,0.03,0.05,0.04,0.04,0.05,0.06,0.02
平成28年 3月16日,  1.0,0.05,0.03,0.04,0.03,0.03,0.04,0.05,0.04
平成28年 3月9日,  1.0,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.03
平成28年 3月2日,  1.0,0.04,0.04,0.04,0.03,0.04,0.05,0.06,0.03
平成28年 2月24日,  1.0,0.04,0.04,0.04,0.03,0.03,0.04,0.06,0.03
平成28年 2月17日,  1.0,0.04,0.04,0.05,0.03,0.03,0.04,0.05,0.02
平成28年 2月10日,  1.0,0.05,0.03,0.05,0.03,0.03,0.04,0.06,0.02
平成28年 2月3日,  1.0,0.04,0.04,0.04,0.03,0.04,0.04,0.05,0.04
平成28年 1月27日,  1.0,0.04,0.03,0.04,0.03,0.04,0.04,0.05,0.03
平成28年 1月20日,  1.0,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03
平成28年 1月13日,  1.0,0.04,0.03,0.04,0.03,0.04,0.04,0.06,0.03
平成28年 1月6日,  1.0,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.03
