No.,分野,区分,素地面,塗装仕様名称,塗装工程,塗料名,使用量(g/m2),目標膜厚(μm),シンナー,希釈率(重量%),塗り回数(回),塗装方法,塗装間隔(日),塗装間隔(日),VOC量（塗料）(g/m2),VOC量（シンナー）(g/m2),VOC量(g/m2),(%),耐食性,耐候性,塗料費（指数）,塗装費（指数）,塗りやすさ,塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／気温[℃],塗膜形成し易さ（塗付け作業時の気温、湿度の制限）／湿度[RH%],参考資料
現行,構造物,新設,水門（常時水中）,B-1塗装系,一次プライマー／第1層目（下塗）／ミストコート／第2層目／第3層目／第4層目,,,,,,,,,,888,465,1353,(-),A,－,1,1,A,,,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,－,1,1,A,0以下,50以下,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,－,1,1,A,0以下,50以下,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,-,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,－,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,第2層目,エポキシ樹脂塗料下塗（水中部用）,500,100,シンナー,20,1,エアレススプレー,1,10,206,100,,,A,－,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,第3層目,エポキシ樹脂塗料下塗（水中部用）,500,100,シンナー,20,1,エアレススプレー,1,10,206,100,,,A,－,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
現行,構造物,新設,水門（常時水中）,B-1塗装系,第4層目,エポキシ樹脂塗料下塗（水中部用）,500,100,シンナー,20,1,エアレススプレー,1,10,206,100,,,A,－,1,1,A,10以下,85以上,国土交通省総合政策局「機械工事塗装要領（案）・同解説」2010年
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,一次プライマー／第1層目（下塗）／ミストコート／第2層目／第3層目／第4層目,,,,,,,,,,423,247,670,-50,A,－,1.5,1,A',,,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,－,1.5,1,A,0以下,50以下,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,第1層目（下塗）,無機ジンクリッチペイント,650,75,シンナー,10,1,エアレススプレー,-,6ヶ月,152,65,,,A,－,1.5,1,A,0以下,50以下,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,ミストコート,エポキシ樹脂塗料下塗（ミストコート）,160,-,シンナー,50,1,エアレススプレー,2,10,59,80,,,A,－,1.5,1,A,10以下,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,第2層目,低溶剤形エポキシ樹脂塗料下塗,390,100,シンナー,7,1,エアレススプレー,1,10,51,27,,,A,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,第3層目,低溶剤形エポキシ樹脂塗料下塗,390,100,シンナー,7,1,エアレススプレー,1,10,51,27,,,A,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.1,構造物,新設,水門（常時水中）,低VOC塗装（常時水中）,第4層目,低溶剤形エポキシ樹脂塗料下塗,390,100,シンナー,7,1,エアレススプレー,1,10,51,27,,,A,－,1.5,1,A',10以下（標準用）／5以下，20以上（低温用）,85以上,低溶剤形エポキシ樹脂塗料は溶剤形よりも可使時間が短いことに留意する必要があります。塗装時の気温により標準用／（使用温度10℃以上）と低温用（使用温度5～20℃）とを使い分けます。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,一次プライマー／第1層目（下塗）／ミストコート／第2層目／第3層目／第4層目,,,,,,,,,,271,165,436,-68,A,－,1.5,1,C,,,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
6.1.2,構造物,新設,水門（常時水中）,超低VOC塗装（常時水中）,一次プライマー,無機ジンクリッチプライマー,200,(15),シンナー,10,1,エアレススプレー,-,4h,60,20,,,A,－,1.5,1,A,0以下,50以下,無溶剤形エポキシ樹脂塗料は常温以上では可使時間が短く、低温では粘度が高く塗膜の硬化乾燥も遅いといった特徴があります。電子制御混合式エアレススプレー塗装機などを使用することにより、可使時間の制約を受けずに塗装することができますが、塗料の加温により適正な粘度に調整しなければならず、また混合不良によって健全な塗膜が形成されない場合があることなどに、留意する必要があります。
