項目名,,毒性等価係数,八王子市北野清掃工場周辺／八王子市大和田町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市明神町4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／日野市西平山5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市子安町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八王子市北野清掃工場周辺／八王子市北野町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／立川市幸町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／立川市幸町5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／東大和市桜が丘2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／小平市栄町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平・村山・大和衛生組合周辺地区／小平市小川町1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町5／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町4①／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町4②／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,東村山市秋水園周辺地区／東村山市秋津町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
ＰＣＤＤｓ,"1,3,6,8-TeCDD",0,0.32,0.09,29,0.29,0.08,7.7,0.32,0.09,3.9,0.30,0.08,8.0,0.29,0.08,18,0.26,0.08,2.0,0.28,0.08,11,0.26,0.08,10,0.27,0.08,4.9,0.27,0.08,51,0.26,0.08,24,0.28,0.08,49,0.28,0.08,23,0.26,0.08,35,0.25,0.08,35
ＰＣＤＤｓ,"1,3,7,9-TeCDD",0,0.32,0.09,13,0.29,0.08,3.9,0.32,0.09,2.1,0.30,0.08,3.9,0.29,0.08,9.6,0.26,0.08,1.0,0.28,0.08,5.2,0.26,0.08,4.8,0.27,0.08,2.3,0.27,0.08,27,0.26,0.08,12,0.28,0.08,25,0.28,0.08,12,0.26,0.08,17,0.25,0.08,14
ＰＣＤＤｓ,"2,3,7,8-TeCDD",1,0.32,0.09,1.3,0.29,0.08,0.40,0.32,0.09,0.15,0.30,0.08,0.20,0.29,0.08,0.70,0.26,0.08,ND,0.28,0.08,(0.17),0.26,0.08,(0.20),0.27,0.08,(0.11),0.27,0.08,0.76,0.26,0.08,0.43,0.28,0.08,0.75,0.28,0.08,0.48,0.26,0.08,0.51,0.25,0.08,(0.17)
ＰＣＤＤｓ,"1,2,3,7,8-PeCDD",1,0.4,0.1,3.5,0.4,0.1,1.5,0.4,0.1,0.7,0.4,0.1,1.0,0.4,0.1,3.5,0.26,0.08,0.27,0.28,0.08,0.93,0.26,0.08,0.92,0.27,0.08,0.51,0.27,0.08,3.4,0.26,0.08,2.1,0.28,0.08,4.1,0.28,0.08,2.5,0.26,0.08,3.3,0.25,0.08,1.3
ＰＣＤＤｓ,"1,2,3,4,7-PeCDD",0,0.4,0.1,5.7,0.4,0.1,2.1,0.4,0.1,0.8,0.4,0.1,1.4,0.4,0.1,4.8,0.26,0.08,(0.23),0.28,0.08,1.4,0.26,0.08,1.2,0.27,0.08,0.53,0.27,0.08,4.8,0.26,0.08,3.0,0.28,0.08,5.5,0.28,0.08,3.7,0.26,0.08,4.4,0.25,0.08,1.7
ＰＣＤＤｓ,"1,2,3,4,7,8-HxCDD",0.1,0.4,0.1,4.6,0.4,0.1,1.3,0.4,0.1,0.7,0.4,0.1,1.2,0.4,0.1,4.1,0.5,0.2,ND,0.6,0.2,1.0,0.5,0.2,0.8,0.5,0.2,(0.4),0.5,0.2,3.4,0.5,0.2,2.4,0.6,0.2,5.0,0.6,0.2,2.5,0.5,0.2,3.7,0.5,0.2,1.3
ＰＣＤＤｓ,"1,2,3,6,7,8-HxCDD",0.1,0.4,0.1,15,0.3,0.1,2.1,0.4,0.1,1.2,0.4,0.1,2.1,0.3,0.1,7.6,0.5,0.2,0.8,0.6,0.2,2.0,0.5,0.2,1.5,0.5,0.2,0.9,0.5,0.2,6.8,0.5,0.2,5.1,0.6,0.2,10,0.6,0.2,6.8,0.5,0.2,6.7,0.5,0.2,2.7
ＰＣＤＤｓ,"1,2,3,7,8,9-HxCDD",0.1,0.4,0.1,9.0,0.4,0.1,2.0,0.4,0.1,1.3,0.4,0.1,2.2,0.4,0.1,7.1,0.5,0.2,1.1,0.6,0.2,2.4,0.5,0.2,1.4,0.5,0.2,1.5,0.5,0.2,6.7,0.5,0.2,5.0,0.6,0.2,11,0.6,0.2,5.4,0.5,0.2,6.7,0.5,0.2,2.5
ＰＣＤＤｓ,"1,2,3,4,6,7,8-HpCDD",0.01,1.8,0.5,240,1.6,0.5,16,1.8,0.5,9.9,1.7,0.5,19,1.7,0.5,120,0.5,0.2,19,0.6,0.2,23,0.5,0.2,11,0.5,0.2,10,0.5,0.2,58,0.5,0.2,45,0.6,0.2,95,0.6,0.2,79,0.5,0.2,70,0.5,0.2,26
ＰＣＤＤｓ,OCDD,0.0003,1.2,0.4,5800,1.1,0.3,64,1.1,0.3,35,1.1,0.3,80,1.1,0.3,1500,1.1,0.3,290,1.1,0.3,440,1.1,0.3,48,1.1,0.3,80,1.1,0.3,340,1.0,0.3,290,1.0,0.3,420,1.0,0.3,630,1.0,0.3,280,1.0,0.3,190
