一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
5,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道１８８号（貝坂通り）,b,2004-07-20,2004-07-22,6,2,1.9,1.5,63,59
10,千代田区富士見1-4-4,35.698582,139.746185,JGD2011,区道２７０号（早稲田通り）,c,2004-11-16,2004-11-18,6,1,2.7,1.5,66,61
76,新宿区納戸町36,35.696926,139.733063,JGD2011,区道３４－１９１,a,2005-02-01,2005-02-03,6,1,0.0,1.2,72,67
108,墨田区八広4-12,35.722603,139.826538,JGD2011,特別区道 墨120,c,2004-11-15,2004-11-19,6,2,2.0,1.2,68,65
109,墨田区八広6-53,35.724098,139.830521,JGD2011,特別区道 墨121,c,2004-11-15,2004-11-19,6,2,0.0,1.2,72,68
110,墨田区八広5-7,35.723965,139.824219,JGD2011,特別区道 墨119,c,2004-11-29,2004-12-03,6,2,0.0,1.2,72,69
191,世田谷区桜上水1-18-8,35.657021,139.629318,JGD2011,区道（赤堤通り）,a,2004-09-14,2004-09-24,6,2,1.5,1.2,70,67
238,中野区弥生町2-41-2,35.691360,139.671951,JGD2011,区道補助６３号（本郷通り）,c,2004-10-12,2004-10-15,6,2,2.2,1.2,67,65
263,杉並区宮前3-27,35.696415,139.609192,JGD2011,区道2132号（神明通り）,a,2004-07-06,2004-07-09,6,1,1.0,1.4,69,64
264,杉並区西荻北2-32,35.706882,139.605515,JGD2011,区道２１０３－１（真中橋通り）,a,2004-06-14,2004-06-17,6,2,2.0,1.8,64,57
265,杉並区高井戸西1-17,35.681786,139.606659,JGD2011,区道2133－1号線,a,2004-06-22,2004-06-25,6,2,1.0,1.4,68,63
280,豊島区池袋2-61-5,35.734947,139.709808,JGD2011,区道(補助73号線),c,2004-12-06,2004-12-09,6,2,4.0,1.5,66,64
306,荒川区東日暮里6-17-6,35.729103,139.777298,JGD2011,特別区道荒１０７号（日暮里中央通り）,c,2004-11-15,2004-11-19,6,2,3.3,1.8,67,64
307,荒川区東尾久6-35-10,35.749165,139.772858,JGD2011,特別区道荒１１１号（旭電化通り）,c,2004-06-07,2004-06-11,6,2,2.5,1.5,67,66
424,武蔵野市緑町2-2-28,35.717758,139.565857,JGD2011,市道１７号線（中央通り）,b,2005-02-09,2005-02-10,6,2,3.0,1.6,70,67
432,三鷹市下連雀2-26-9,35.697388,139.566025,JGD2011,市道６号線,b,2004-06-14,2004-06-18,6,2,2.0,1.0,69,66
447,府中市栄町3-7,35.686638,139.472107,JGD2011,市道学園通り,b,2004-11-02,2004-11-05,6,2,3.0,1.5,68,62
448,府中市四谷3-2740,35.659714,139.444138,JGD2011,市道多摩川通り,a,2004-07-27,2004-07-30,6,2,3.0,1.5,69,66
456,府中市四谷4-46,35.667736,139.440521,JGD2011,市道四谷通り,a,2004-11-22,2004-11-25,6,2,1.0,1.5,63,58
457,府中市四谷5-44,35.663307,139.440155,JGD2011,市道多摩川通り,c,2004-10-12,2004-10-15,6,2,5.0,1.5,70,67
464,昭島市朝日町4-23-28,35.708611,139.369812,JGD2011,市道１７号線（江戸街道）,c,2004-10-05,2004-10-07,6,2,4.5,1.2,68,64
480,町田市木曽町205,35.561333,139.429779,JGD2011,市道町田４３７号線（町田駅前通り）,c,2005-03-02,2005-03-03,6,2,2.4,1.2,69,67
499,小平市津田町3-34-8,35.725952,139.470139,JGD2011,市道第Ｂ-20号（たかの街道）,a,2004-11-17,2004-11-18,6,2,2.0,1.2,69,63
512,東村山市久米川町3-30,35.761127,139.479584,JGD2011,市道第３７３号線の１,a,2004-10-27,2004-10-28,6,2,4.0,1.2,67,61
513,東村山市富士見町1-2,35.744614,139.456924,JGD2011,市補助道１号線,c,2004-11-29,2004-11-30,6,2,2.1,1.2,67,62
520,国分寺市西町1-5-8,35.703697,139.437271,JGD2011,市道幹１１号線（戸倉通り）,a,2004-12-16,2004-12-17,6,2,1.2,1.2,70,64
523,国立市谷保6256-8,35.681122,139.431946,JGD2011,市道南２６号線（石田街道）,b,2005-02-08,2005-02-08,6,2,1.0,1.2,71,68
595,西東京市南町3-18-40,35.722900,139.542709,JGD2011,市道４１号線,b,2004-06-01,2004-06-02,6,2,5.0,1.5,66,65
