【2019年度HAPs成分】,,,,,,,,,,,,,,,,,,,,,,,
,表7　地点別年平均濃度（μg/m3）,,,,,,,,注）極性物質及び一部の低沸点の物質については、測定精度が十分ではない。,,,,,,,,,,,,,,HAPs＋極性物質
,,,,2019年度,,,,,,,,,,,,,,,,,,,（単位：μg/m3）
,NAME,"定量
下限値","検出
下限値",区部一般環境,,,,,,,,,多摩一般,,,"都一般
平均",沿道,,,,,,檜原（ﾊﾞｯｸｸﾞﾗｳﾝﾄﾞ)
,,,,中央区晴海,国設東京新宿,大田区東糀谷,世田谷区世田谷,板橋区氷川町,練馬区石神井町,足立区西新井,江戸川区春江町,区部一般平均,小金井市本町,東大和市奈良橋,多摩部一般平均,,京葉道路亀戸,環八通り八幡山,２地点沿道平均,甲州街道大原,中山道大和町,４地点沿道平均,
1,Vinylchloride,0.07,0.03,0.124,0.065,0.089,0.04,0.056,0.041,0.114,0.105,0.079,0.031,  < 0.03,  < 0.03,0.069,0.179,0.046,0.112,0.051,0.061,0.084,  < 0.03
2,"1,3-Butadiene",0.07,0.02,0.262,0.262,0.266,0.224,0.234,0.181,0.237,0.171,0.23,0.115,0.104,0.109,0.206,0.226,0.244,0.235,0.281,0.329,0.27,0.024
3,Dichloromethane,0.1,0.03,1.254,2.342,1.595,1.291,1.706,1.554,1.951,1.396,1.636,1.462,1.357,1.409,1.591,1.317,1.311,1.314,1.791,1.697,1.529,0.856
4,Acrylonitrile,0.15,0.05,0.24,0.103,0.194,0.102,0.113,0.09,0.16,0.124,0.141,0.097,0.082,0.09,0.13,0.154,0.137,0.145,0.134,0.13,0.139,  < 0.05
5,"1,1-Dichloroethane",0.07,0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02,  < 0.02
6,Chloroform,0.09,0.03,0.21,0.231,0.297,0.229,0.262,0.285,0.255,0.191,0.245,0.249,0.183,0.216,0.239,0.205,0.245,0.225,0.24,0.276,0.242,0.153
