項目名,毒性等価係数,青梅市天ヶ瀬町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,町田市忠生1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小金井市中町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,日野市豊田3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,福生市南田園1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,あきる野市草花／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,日の出町大字平井／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三宅村神着／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,御蔵島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,八丈町中之郷／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,青ヶ島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.18,0.06,4.8,0.21,0.06,18,0.18,0.05,8.0,0.18,0.06,27,0.18,0.05,4.0,0.18,0.05,23,0.19,0.06,42,0.18,0.05,5.0,0.4,0.1,5100,0.18,0.05,0.32,0.19,0.06,5.4
"1,3,7,9-TeCDD",0,0.18,0.06,1.9,0.21,0.06,7.9,0.18,0.05,3.3,0.18,0.06,12,0.18,0.05,1.6,0.18,0.05,9.2,0.19,0.06,15,0.18,0.05,1.8,0.4,0.1,1600,0.18,0.05,(0.12),0.19,0.06,2.1
"2,3,7,8-TeCDD",1,0.18,0.06,(0.17),0.21,0.06,0.24,0.18,0.05,(0.10),0.18,0.06,0.87,0.18,0.05,ND,0.18,0.05,0.49,0.19,0.06,0.26,0.18,0.05,ND,0.4,0.1,0.8,0.18,0.05,ND,0.19,0.06,ND
"1,2,3,7,8-PeCDD",1,0.19,0.06,ND,0.21,0.06,1.3,0.18,0.06,0.42,0.19,0.06,2.7,0.18,0.05,0.37,0.18,0.05,2.8,0.19,0.06,0.99,0.18,0.05,0.25,0.4,0.1,7.1,0.18,0.05,(0.11),0.19,0.06,(0.09)
"1,2,3,4,7-PeCDD",0,0.19,0.06,0.59,0.21,0.06,0.90,0.18,0.06,0.62,0.19,0.06,4.1,0.18,0.05,0.32,0.18,0.05,2.9,0.19,0.06,1.3,0.18,0.05,0.55,0.4,0.1,4.2,0.18,0.05,ND,0.19,0.06,(0.08)
"1,2,3,4,7,8-HxCDD",0.1,0.4,0.1,0.7,0.4,0.1,0.7,0.4,0.1,0.4,0.4,0.1,2.5,0.4,0.1,(0.3),0.4,0.1,2.6,0.4,0.1,1.2,0.4,0.1,(0.2),0.8,0.2,9.5,0.4,0.1,ND,0.4,0.1,ND
"1,2,3,6,7,8-HxCDD",0.1,0.3,0.1,1.4,0.4,0.1,1.9,0.32,0.09,0.79,0.3,0.1,4.7,0.32,0.09,0.55,0.31,0.09,4.6,0.3,0.1,2.2,0.31,0.09,0.55,0.7,0.2,23,0.31,0.09,ND,0.3,0.1,(0.2)
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.1,1.2,0.6,0.2,3.2,0.5,0.1,0.7,0.5,0.1,4.3,0.5,0.1,0.6,0.5,0.1,4.4,0.5,0.1,1.9,0.5,0.1,1.1,1.0,0.3,20,0.5,0.1,(0.3),0.5,0.1,(0.2)
"1,2,3,4,6,7,8-HpCDD",0.01,1.4,0.4,20,1.6,0.5,24,1.4,0.4,7.5,1.4,0.4,41,1.4,0.4,6.8,1.4,0.4,46,1.4,0.4,30,1.4,0.4,19,1.5,0.4,900,1.4,0.4,9.9,1.4,0.4,3.6
OCDD,0.0003,2.5,0.7,210,2.8,0.8,370,2.4,0.7,74,2.5,0.7,150,2.4,0.7,63,2.4,0.7,360,2.5,0.7,280,2.4,0.7,1800,60,20,81000,2.4,0.7,1400,2.5,0.7,55
"1,3,6,8-TeCDF",0,0.30,0.09,0.61,0.3,0.1,0.7,0.30,0.09,0.44,0.30,0.09,2.8,0.30,0.09,(0.26),0.30,0.09,2.0,0.31,0.09,1.2,0.30,0.09,0.37,0.6,0.2,0.9,0.29,0.09,ND,0.30,0.09,(0.22)
"1,2,7,8-TeCDF",0,0.30,0.09,0.75,0.3,0.1,1.4,0.30,0.09,0.51,0.30,0.09,3.5,0.30,0.09,0.31,0.30,0.09,2.6,0.31,0.09,2.5,0.30,0.09,0.39,0.6,0.2,0.8,0.29,0.09,ND,0.30,0.09,(0.15)
"2,3,7,8-TeCDF",0.1,0.30,0.09,0.66,0.3,0.1,1.3,0.30,0.09,0.46,0.30,0.09,2.6,0.30,0.09,(0.24),0.30,0.09,2.2,0.31,0.09,3.2,0.30,0.09,0.42,0.6,0.2,0.6,0.29,0.09,ND,0.30,0.09,(0.12)
"1,2,3,7,8-PeCDF",0.03,0.5,0.1,0.7,0.5,0.2,1.5,0.5,0.1,0.6,0.5,0.1,4.0,0.4,0.1,0.5,0.4,0.1,3.2,0.5,0.1,1.7,0.4,0.1,0.6,0.5,0.1,1.0,0.4,0.1,ND,0.5,0.1,(0.2)
"2,3,4,7,8-PeCDF",0.3,0.7,0.2,ND,0.7,0.2,1.9,0.6,0.2,1.0,0.7,0.2,5.8,0.6,0.2,(0.6),0.6,0.2,5.2,0.7,0.2,2.5,0.6,0.2,(0.5),0.7,0.2,1.5,0.6,0.2,ND,0.7,0.2,ND
"1,2,3,4,7,8-HxCDF",0.1,0.19,0.06,1.5,0.21,0.06,2.3,0.19,0.06,1,0.19,0.06,6.8,0.19,0.06,0.74,0.18,0.06,7.1,0.19,0.06,3.4,0.18,0.06,0.80,0.4,0.1,7.1,0.18,0.05,ND,0.19,0.06,0.28
