年度,建設業（千t）,製造業（千t）,その他（千t）,上下水除く計（千t）
昭和57,4987,2159,111,7257
昭和62,6976,2208,177,9361
平成4　,9165,2336,176,11677
平成10,10054,2013,304,12371
平成15,8753,1774,424,10952
平成16,9459,1343,406,11209
平成17,8133,1096,471,9700
平成18,9310,1289,712,11312
平成19,9029,1473,544,11045
平成20,7039,1147,642,8828
平成21,7479,790,634,8903
平成22,7309,754,625,8688
平成23,7686,976,609,9271
平成24,8172,991,624,9787
平成25,9355,1242,458,11055
平成26,9968,1122,482,11572
平成27,10042,1126,499,11667
平成28,10506,1257,484,12247
