業種,平成28年度（千t）,平成29年度（千t）
合計,26923,27284
建設業,10506,10792
製造業,1257,1162
上下水道業,14676,14836
農業，林業,40,39
電気・ガス・熱供給業,26,19
情報通信業,17,18
運輸業,49,51
卸売業，小売業,128,134
不動産業，物品賃貸業,57,58
学術研究，専門・技術サービス業,31,33
宿泊業，飲食サービス業,26,25
生活関連サービス業，娯楽業,4,4
教育，学習支援業,26,26
医療，福祉,59,61
サービス業,15,19
自動車整備業,6,7
