,処理量（千t）,比率（%）
東京都,18769,70.2
埼玉県,3104,11.6
千葉県,3276,12.3
神奈川県,1118,4.2
栃木県,383,1.4
茨城県,34,0.1
群馬県,56,0.2
合計,26740,100.0
