種類,減量化量（千t）,構成比（％）
建設汚泥,1272,62.5
その他汚泥,476,23.4
廃プラスチック,75,3.7
木くず,23,1.1
がれき類,8,0.4
廃油,9,0.4
ガラス・陶磁器くず,50,2.5
その他,122,6.0
合　計,2035,100.0
