年度,汚泥（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,その他（千t）,合計（千t）
昭和57,206,17,88,92,403
昭和62,187,22,92,72,373
平成4　,88,18,104,158,368
平成10,31,10,58,42,141
平成15,34,161,22,141,358
平成16,16,10,37,182,245
平成17,29,4,20,100,153
平成18,22,135,3,48,208
平成19,23,52,6,89,170
平成20,50,86,15,49,200
平成21,17,69,5,7,98
平成22,30,100,5,12,147
平成23,18,220,5,9,252
平成24,18,208,3,9,238
平成25,11,74,11,9,105
平成26,15,80,11,9,115
平成27,18,69,3,11,101
平成28,17,84,2,6,109
