年度（平成）,廃プラスチック類（千t）,木くず（千t）,汚泥（千t）,金属くず（千t）,ガラス･陶磁器くず（千t）,動物系固形不要物（千t）,合計（千t）
28,69,19,15,12,11,2,128
27,73,19,15,12,11,0,130
