項目名,毒性等価係数,八王子市上柚木2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,小平市上水南町3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,狛江市和泉本町4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,清瀬市竹丘3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,瑞穂町二本木／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,奥多摩町留浦／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
"1,3,6,8-TeCDD",0,0.3,0.1,9.8,0.3,0.1,27,0.3,0.1,5.0,0.3,0.1,5.6,0.3,0.1,3.9,0.3,0.1,1.3
"1,3,7,9-TeCDD",0,0.3,0.1,4.3,0.3,0.1,13,0.3,0.1,2.5,0.3,0.1,3.0,0.3,0.1,2.1,0.3,0.1,0.5
"2,3,7,8-TeCDD",1,0.3,0.1,ND,0.3,0.1,0.6,0.3,0.1,0.3,0.3,0.1,0.3,0.3,0.1,(0.1),0.3,0.1,ND
"1,2,3,7,8-PeCDD",1,0.25,0.08,0.38,0.22,0.07,2.9,0.23,0.08,1.2,0.23,0.08,0.96,0.22,0.07,0.73,0.22,0.07,(0.20)
"1,2,3,4,7-PeCDD",0,0.25,0.08,0.40,0.22,0.07,4.0,0.23,0.08,1.1,0.23,0.08,1.0,0.22,0.07,0.56,0.22,0.07,(0.19)
"1,2,3,4,7,8-HxCDD",0.1,0.11,0.03,0.43,0.10,0.02,2.9,0.10,0.03,0.91,0.10,0.03,0.71,0.10,0.02,0.67,0.10,0.02,0.20
"1,2,3,6,7,8-HxCDD",0.1,0.4,0.1,0.8,0.3,0.1,5.7,0.4,0.1,3.3,0.4,0.1,1.7,0.3,0.1,1.4,0.3,0.1,0.4
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.1,0.9,0.4,0.1,5.4,0.4,0.1,3.8,0.4,0.1,2.7,0.4,0.1,1.6,0.4,0.1,(0.3)
"1,2,3,4,6,7,8-HpCDD",0.01,1.1,0.3,10,1.0,0.3,48,1.1,0.3,15,1.1,0.3,13,1.0,0.3,14,1.0,0.3,4.0
OCDD,0.0003,2.2,0.5,95,2.0,0.5,180,2.1,0.5,110,2.0,0.5,82,1.9,0.5,55,2.0,0.5,19
"1,3,6,8-TeCDF",0,0.4,0.1,(0.3),0.3,0.1,3.2,0.3,0.1,1.3,0.3,0.1,1.1,0.3,0.1,0.7,0.3,0.1,(0.2)
"1,2,7,8-TeCDF",0,0.4,0.1,0.4,0.3,0.1,4.0,0.3,0.1,2.9,0.3,0.1,1.9,0.3,0.1,0.9,0.3,0.1,(0.3)
"2,3,7,8-TeCDF",0.1,0.4,0.1,(0.3),0.3,0.1,3.2,0.3,0.1,2.6,0.3,0.1,1.6,0.3,0.1,0.7,0.3,0.1,(0.2)
"1,2,3,7,8-PeCDF",0.03,0.5,0.2,0.6,0.5,0.1,4.1,0.5,0.2,1.9,0.5,0.2,1.7,0.5,0.1,1.1,0.5,0.1,(0.3)
"2,3,4,7,8-PeCDF",0.3,0.8,0.3,(0.6),0.7,0.2,5.8,0.8,0.3,2.7,0.8,0.3,1.9,0.7,0.2,1.9,0.7,0.2,(0.4)
"1,2,3,4,7,8-HxCDF",0.1,0.14,0.03,0.96,0.12,0.02,6.5,0.13,0.03,2.9,0.13,0.03,2.2,0.12,0.02,2.6,0.12,0.02,0.72
"1,2,3,6,7,8-HxCDF",0.1,0.4,0.1,1.1,0.4,0.1,8.1,0.4,0.1,3.0,0.4,0.1,2.4,0.4,0.1,3.8,0.4,0.1,0.9
"1,2,3,7,8,9-HxCDF",0.1,0.6,0.2,ND,0.5,0.1,0.7,0.6,0.2,(0.2),0.6,0.2,(0.3),0.5,0.1,(0.5),0.5,0.1,ND
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,1.7,0.4,0.1,11,0.4,0.1,3.8,0.4,0.1,2.7,0.4,0.1,7.7,0.4,0.1,1.3
"1,2,3,4,6,7,8-HpCDF",0.01,1.1,0.3,6.5,1.0,0.3,36,1.0,0.3,14,1.0,0.3,10,1.0,0.3,23,1.0,0.3,4.3
"1,2,3,4,7,8,9-HpCDF",0.01,2.2,0.5,(1.5),2.0,0.5,5.7,2.1,0.5,(1.6),2.0,0.5,(1.1),1.9,0.5,6.3,2.0,0.5,(1.1)
OCDF,0.0003,5,2,8,4,1,28,5,2,11,5,2,6,4,1,33,4,1,5
"3,4,4',5-TeCB(#81)",0.0003,0.8,0.2,ND,0.7,0.2,3.4,0.7,0.2,1.3,0.7,0.2,2.0,0.7,0.2,(0.6),0.7,0.2,ND
"3,3',4,4'-TeCB(#77)",0.0001,0.6,0.2,3.7,0.5,0.1,48,0.6,0.2,33,0.6,0.2,32,0.5,0.1,6.1,0.5,0.1,2.7
"3,3',4,4',5-PeCB(#126)",0.1,0.30,0.08,1.2,0.27,0.07,8.7,0.28,0.08,10,0.28,0.08,4.4,0.27,0.07,1.7,0.27,0.07,0.57
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.3,0.4,ND,1.1,0.3,2.0,1.2,0.4,1.7,1.2,0.4,(1.0),1.1,0.3,1.3,1.1,0.3,ND
"2',3,4,4',5-PeCB(#123)",0.00003,1.4,0.4,(0.8),1.2,0.4,6.5,1.3,0.4,26,1.3,0.4,5.7,1.2,0.4,(0.8),1.2,0.4,(0.6)
"2,3',4,4',5-PeCB(#118)",0.00003,0.8,0.2,14,0.7,0.2,170,0.7,0.2,1400,0.7,0.2,240,0.7,0.2,26,0.7,0.2,26
"2,3,3',4,4'-PeCB(#105)",0.00003,0.6,0.2,8.3,0.5,0.1,99,0.6,0.2,520,0.6,0.2,120,0.5,0.1,12,0.5,0.1,13
"2,3,4,4',5-PeCB(#114)",0.00003,0.9,0.3,ND,0.8,0.2,4.5,0.8,0.3,15,0.8,0.3,5.1,0.8,0.2,(0.7),0.8,0.2,(0.7)
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.6,0.5,2.2,1.4,0.4,16,1.5,0.5,130,1.5,0.5,19,1.4,0.4,2.1,1.4,0.4,1.6
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.25,0.08,3.7,0.22,0.07,32,0.23,0.08,250,0.23,0.08,41,0.22,0.07,4.2,0.22,0.07,3.7
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,1.6,0.3,0.1,11,0.3,0.1,78,0.3,0.1,9.9,0.3,0.1,1.6,0.3,0.1,1.1
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.2,0.5,(0.9),2.0,0.5,5.6,2.1,0.5,17,2.0,0.5,2.9,1.9,0.5,(1.8),2.0,0.5,ND
TeCDDs ,,―,―,15,―,―,55,―,―,13,―,―,14,―,―,9.1,―,―,2.5
PeCDDs ,,―,―,6.9,―,―,51,―,―,15,―,―,14,―,―,9.7,―,―,2.7
