測定日,測定位置（高さ(m)）,Ａ１（μSv/h）,Ａ２（μSv/h）,Ａ３（μSv/h）,Ａ４（μSv/h）,Ａ５（μSv/h）,Ａ６（μSv/h）,Ａ７（μSv/h）,Ａ８（μSv/h）
平成27年 12月28日,  1.0,0.04,0.03,0.04,0.04,0.04,0.04,0.06,0.03
平成27年 12月21日,  1.0,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.03
平成27年 12月16日,  1.0,0.05,0.04,0.04,0.04,0.04,0.05,0.05,0.03
平成27年 12月9日,  1.0,0.05,0.03,0.04,0.03,0.04,0.05,0.04,0.03
平成27年 12月2日,  1.0,0.04,0.03,0.03,0.03,0.03,0.04,0.05,0.02
平成27年 11月25日,  1.0,0.05,0.04,0.05,0.04,0.03,0.04,0.05,0.03
平成27年 11月18日,  1.0,0.04,0.03,0.04,0.04,0.05,0.04,0.05,0.03
平成27年 11月11日,  1.0,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.03
平成27年 11月4日,  1.0,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.02
平成27年 10月28日,  1.0,0.05,0.03,0.04,0.04,0.04,0.05,0.06,0.04
平成27年 10月21日,  1.0,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.03
平成27年 10月14日,  1.0,0.04,0.03,0.04,0.03,0.05,0.05,0.06,0.03
平成27年 10月7日,  1.0,0.04,0.03,0.04,0.03,0.04,0.05,0.05,0.04
平成27年 10月1日,  1.0,0.05,0.04,0.03,0.04,0.04,0.04,0.04,0.04
