年度,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57,1980,12100,3198,17278
昭和62,3112,14319,4522,21953
平成4　,3650,15068,6070,24788
平成10,5237,16045,3443,24725
平成15,6737,15346,1493,23576
平成16,5963,16889,1576,24428
平成17,6603,15007,1181,22790
平成18,7836,15206,1405,24448
平成19,7566,15378,1164,24107
平成20,5807,15075,1030,21912
平成21,6274,16076,839,23189
平成22,6553,15226,786,22565
平成23,6628,16095,1031,23754
平成24,7194,15495,877,23566
平成25,8694,15152,747,24592
平成26,9276,14694,704,24674
平成27,9624,13469,606,23699
平成28,9689,16654,580,26923
平成29,9252,17448,584,27284
