業種,（A）調査対象事業所数（件）,（B）回収事業所数（件）,（C）有効回答数（件）,（D）多量事業者回答件数（件）,（E）集計排出量（千t/年）,（F）推計排出量（千t/年）,（G）補足率（％）／（E）÷（F）
合計,2500,1129,1129,473,22156,27284,81.2
農業、林業,-,-,-,0,0,39,0.0
建設業,1250,536,536,277,7464,10792,69.2
製造業,1001,429,429,80,857,1162,73.8
上下水道業,17,17,17,17,13756,14836,92.7
電気・ガス・熱供給業,7,6,6,6,10,19,52.6
情報通信業,2,1,1,1,1,18,5.6
運輸業,1,0,0,0,0,51,0.0
卸売業，小売業,4,2,2,2,5,134,3.7
不動産業，物品賃貸業,7,2,2,2,8,58,13.8
宿泊業，飲食サービス業,1,1,1,1,1,25,4.0
学術研究，専門・技術サービス業,4,4,4,4,2,33,6.1
生活関連サービス業，娯楽業,-,-,-,0,0,4,0.0
教育，学習支援業,2,2,2,2,1,26,3.8
医療，福祉,202,127,127,79,35,61,57.4
自動車整備業,-,-,-,0,0,7,0.0
サービス業,2,2,2,2,16,19,84.2
