種類,減量化量（千t）,構成比（％）
上水汚泥,405,2.4
下水汚泥,14213,85.3
建設汚泥,1272,7.6
その他汚泥,477,2.9
廃プラスチック,75,0.5
木くず,23,0.1
がれき類,8,0.0
その他,181,1.1
合　計,16654,100.0
