項目名,毒性等価係数,新宿区四谷1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,品川区豊町2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大田区田園調布1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,世田谷区赤堤4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,豊島区池袋3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,板橋区若木2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,練馬区石神井台2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,足立区東和3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,江戸川区南篠崎町3／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.2,0.05,3.6,0.2,0.05,13,0.2,0.05,7.8,0.2,0.05,41,0.2,0.05,150,0.2,0.05,57,0.2,0.05,7.4,0.2,0.05,8.1,0.2,0.05,14
"1,3,7,9-TeCDD",0,0.2,0.05,1.6,0.2,0.05,4.7,0.2,0.05,4.0,0.2,0.05,19,0.2,0.05,56,0.2,0.05,27,0.2,0.05,3.6,0.2,0.05,3.0,0.2,0.05,6.2
"2,3,7,8-TeCDD",1,0.2,0.05,N.D.,0.2,0.05,(0.13),0.2,0.05,0.24,0.2,0.05,0.44,0.2,0.05,0.41,0.2,0.05,1.0,0.2,0.05,0.27,0.2,0.05,(0.08),0.2,0.05,0.41
"1,2,3,7,8-PeCDD",1,0.2,0.06,0.31,0.2,0.06,0.67,0.2,0.06,0.78,0.2,0.06,2.5,0.2,0.06,1.7,0.2,0.06,6.1,0.2,0.06,0.98,0.2,0.06,0.43,0.2,0.06,2.8
"1,2,3,4,7+1,2,3,4,6-PeCDD",0,0.2,0.06,0.53,0.2,0.06,0.71,0.2,0.06,0.63,0.2,0.06,3.5,0.2,0.06,8.5,0.2,0.06,9.4,0.2,0.06,0.88,0.2,0.06,0.6,0.2,0.06,1.7
"1,2,3,4,7,8-HxCDD",0.1,0.6,0.2,(0.3),0.6,0.2,0.7,0.7,0.2,(0.5),0.6,0.2,2.5,0.7,0.2,1.8,0.7,0.2,6.2,0.7,0.2,0.8,0.6,0.2,(0.4),0.7,0.2,3.2
"1,2,3,6,7,8-HxCDD",0.1,0.2,0.07,0.66,0.2,0.07,1.8,0.3,0.08,1.5,0.2,0.07,5.0,0.3,0.08,5.6,0.3,0.08,12,0.3,0.08,1.7,0.2,0.07,0.64,0.2,0.07,7.8
"1,2,3,7,8,9-HxCDD",0.1,0.3,0.09,0.79,0.3,0.09,2.1,0.3,0.1,1.8,0.3,0.09,5.5,0.3,0.1,5.1,0.3,0.1,10,0.3,0.1,3.5,0.3,0.09,0.64,0.3,0.1,9.3
"1,2,3,4,6,7,8-HpCDD",0.01,1,0.4,8.9,1,0.4,26,1,0.4,13,1,0.4,51,1,0.4,56,1,0.4,100,1,0.4,15,1,0.4,6.3,1,0.4,150
OCDD,0.0003,2,0.7,87,2,0.7,430,3,0.8,150,2,0.7,400,3,0.8,270,3,0.8,430,3,0.8,110,2,0.7,54,3,0.8,4300
"1,3,6,8-TeCDF",0,0.2,0.07,0.58,0.2,0.07,0.62,0.3,0.08,1.1,0.2,0.07,3.5,0.3,0.08,2.9,0.3,0.08,8.3,0.3,0.08,0.89,0.2,0.07,0.41,0.3,0.08,1.3
"1,2,7,8-TeCDF",0,0.2,0.07,1,0.2,0.07,0.8,0.3,0.08,2.6,0.2,0.07,4.9,0.3,0.08,5.1,0.3,0.08,14,0.3,0.08,1.3,0.2,0.07,1.9,0.3,0.08,2
"2,3,7,8-TeCDF",0.1,0.2,0.07,1.5,0.2,0.07,0.83,0.3,0.08,3.8,0.2,0.07,5.0,0.3,0.08,5.6,0.3,0.08,17,0.3,0.08,1.3,0.2,0.07,2.9,0.3,0.08,2.1
"1,2,3,7,8-PeCDF",0.03,0.6,0.2,0.9,0.6,0.2,1.0,0.6,0.2,2.0,0.6,0.2,4.5,0.6,0.2,3.7,0.6,0.2,19,0.6,0.2,1.1,0.6,0.2,1.4,0.6,0.2,2.6
"2,3,4,7,8-PeCDF",0.3,0.6,0.2,0.9,0.7,0.2,1.7,0.7,0.2,2.3,0.6,0.2,5.8,0.7,0.2,4.4,0.7,0.2,23,0.7,0.2,1.4,0.7,0.2,1.4,0.7,0.2,3.8
"1,2,3,4,7,8-HxCDF",0.1,0.3,0.08,1.2,0.3,0.09,2.1,0.3,0.09,2.1,0.3,0.09,7.1,0.3,0.09,5.0,0.3,0.1,34,0.3,0.09,2.0,0.3,0.09,1.8,0.3,0.09,6.9
"1,2,3,6,7,8-HxCDF",0.1,0.2,0.05,1.1,0.2,0.05,2.1,0.2,0.05,2.0,0.2,0.05,8.2,0.2,0.06,5.4,0.2,0.06,29,0.2,0.05,2.2,0.2,0.05,1.1,0.2,0.05,6.7
"1,2,3,7,8,9-HxCDF",0.1,1,0.4,N.D.,1,0.4,N.D.,2,0.5,N.D,1,0.4,(0.6),2,0.5,(0.7),2,0.5,2.1,2,0.5,N.D.,1,0.4,N.D.,1,0.4,(0.5)
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,1.1,0.4,0.1,2.5,0.4,0.1,1.9,0.4,0.1,10,0.4,0.1,6.7,0.4,0.1,33,0.4,0.1,2.9,0.4,0.1,1.1,0.4,0.1,8.5
"1,2,3,4,6,7,8-HpCDF",0.01,0.5,0.2,5.6,0.6,0.2,12,0.6,0.2,7.3,0.5,0.2,36,0.6,0.2,27,0.6,0.2,140,0.6,0.2,11,0.6,0.2,3.8,0.6,0.2,61
"1,2,3,4,7,8,9-HpCDF",0.01,1,0.4,(0.7),2,0.5,(1.6),2,0.5,(0.9),2,0.5,5.6,2,0.5,5.7,2,0.5,19,2,0.5,(1.6),2,0.5,(0.7),2,0.5,5.9
OCDF,0.0003,2,0.7,11,3,0.8,15,3,0.8,8.3,2,0.7,38,3,0.8,46,3,0.8,120,3,0.8,11,2,0.7,4.7,3,0.8,250
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,0.6,0.7,0.2,0.9,0.7,0.2,1.2,0.7,0.2,2.3,0.7,0.2,1.7,0.7,0.2,8.2,0.7,0.2,1.0,0.7,0.2,(0.6),0.7,0.2,13
"3,3',4,4'-TeCB(#77)",0.0001,0.7,0.2,16,0.7,0.2,19,0.8,0.2,23,0.7,0.2,27,0.8,0.2,18,0.8,0.2,130,0.8,0.2,12,0.7,0.2,11,0.8,0.2,240
"3,3',4,4',5-PeCB(#126)",0.1,0.4,0.1,2.9,0.5,0.1,2.8,0.5,0.1,7.9,0.5,0.1,14,0.5,0.2,6.4,0.5,0.2,33,0.5,0.1,3.0,0.5,0.1,1.4,0.5,0.1,8.0
"3,3',4,4',5,5'-HxCB(#169)",0.03,2,0.5,N.D.,2,0.5,(1.0),2,0.5,(1.4),2,0.5,3.7,2,0.5,(1.4),2,0.5,9.5,2,0.5,(1.2),2,0.5,N.D.,2,0.5,2.0
"2',3,4,4',5-PeCB(#123)",0.00003,0.9,0.3,6.9,1,0.3,4.5,1,0.3,8.7,0.9,0.3,10,1,0.3,8.0,1,0.3,27,1,0.3,3.2,1,0.3,2.2,1,0.3,13
"2,3',4,4',5-PeCB(#118)",0.00003,0.9,0.3,240,0.9,0.3,180,1,0.3,200,0.9,0.3,240,1,0.3,230,1,0.3,690,1,0.3,69,0.9,0.3,54,1,0.3,330
"2,3,3',4,4'-PeCB(#105)",0.00003,1,0.3,110,1,0.3,100,1,0.3,92,1,0.3,130,1,0.3,120,1,0.3,370,1,0.3,37,1,0.3,49,1,0.3,210
"2,3,4,4',5-PeCB(#114)",0.00003,1,0.3,4.5,1,0.3,4.8,1,0.4,4.0,1,0.3,5.0,1,0.4,5.7,1,0.4,19,1,0.4,1.5,1,0.3,1.7,1,0.4,12
"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.8,0.2,29,0.8,0.2,14,0.9,0.3,37,0.8,0.2,38,0.9,0.3,32,0.9,0.3,110,0.9,0.3,7.1,0.8,0.2,3.6,0.9,0.3,23
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.7,0.2,64,0.7,0.2,31,0.7,0.2,61,0.7,0.2,71,0.8,0.2,75,0.8,0.2,220,0.7,0.2,15,0.7,0.2,9.2,0.7,0.2,60
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.7,0.2,19,0.7,0.2,10,0.8,0.2,23,0.7,0.2,25,0.8,0.2,22,0.8,0.2,81,0.8,0.2,4.9,0.7,0.2,2.7,0.8,0.2,18
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.9,0.3,3.8,0.9,0.3,3.1,1,0.3,4.9,0.9,0.3,9.7,1,0.3,8.3,1,0.3,36,1,0.3,1.8,0.9,0.3,(0.7),0.9,0.3,6.3
TeCDDs ,,,,7.5,,,21,,,16,,,76,,,230,,,120,,,15,,,14,,,27
PeCDDs ,,,,6.2,,,11,,,11,,,51,,,160,,,120,,,13,,,6.9,,,25
HxCDDs ,,,,8.8,,,23,,,18,,,71,,,180,,,170,,,27,,,8.3,,,69
HpCDDs,,,,17,,,50,,,25,,,100,,,110,,,200,,,32,,,13,,,270
OCDD,,,,87,,,430,,,150,,,400,,,270,,,430,,,110,,,54,,,4300
Total（PCDDs）,,,,130,,,540,,,220,,,690,,,950,,,1000,,,190,,,96,,,4700
TeCDFs,,,,17,,,20,,,42,,,110,,,94,,,310,,,28,,,18,,,45
PeCDFs,,,,14,,,23,,,29,,,100,,,71,,,340,,,24,,,14,,,53
HxCDFs,,,,12,,,25,,,20,,,94,,,59,,,300,,,24,,,10,,,94
HpCDFs,,,,12,,,22,,,13,,,66,,,54,,,220,,,20,,,7.3,,,180
OCDF,,,,11,,,15,,,8.3,,,38,,,46,,,120,,,11,,,4.7,,,250
Total（PCDFs）,,,,65,,,100,,,110,,,410,,,320,,,1300,,,110,,,54,,,630
Total (PCDDs+PCDFs),,,,190,,,640,,,330,,,1100,,,1300,,,2300,,,300,,,150,,,5300
Total Co-PCBs,,,,500,,,380,,,470,,,570,,,540,,,1700,,,160,,,140,,,930
Total (PCDDs+PCDFs+Co-PCBs),,,,690,,,1000,,,790,,,1700,,,1800,,,4000,,,460,,,290,,,6200
TEQ Total(PCDDs+PCDFs),,,,1.4,,,2.9,,,3.3,,,10,,,8,,,32,,,3.4,,,1.8,,,12
TEQ Total Co-PCB,,,,0.31,,,0.29,,,0.81,,,1.5,,,0.66,,,3.6,,,0.31,,,0.14,,,0.91
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,1.7,,,3.2,,,4.1,,,12,,,8.7,,,35,,,3.7,,,2,,,13
含水率（％）,,,,2.8,,,8.5,,,12.4,,,7.5,,,5.7,,,6.7,,,9.9,,,0.8,,,7.8
強熱減量（％）,,,,4.1,,,13.5,,,16.2,,,15.7,,,8.4,,,9.1,,,17.5,,,4.0,,,17.2
土色,,,,褐灰,,,暗褐,,,褐,,,黒褐,,,黒褐,,,暗褐,,,黒褐,,,灰黄褐,,,暗褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
