レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,309.1以下,5,344,561.9
A3+,0.55超-0.60以下,309.1超-337.2以下,1,139,561.9
A3,0.60超-0.65以下,337.2超-365.3以下,3,378,561.9
A3-,0.65超-0.70以下,365.3超-393.4以下,4,243,561.9
A2+,0.70超-0.75以下,393.4超-421.5以下,5,202,561.9
A2,0.75超-0.80以下,421.5超-449.6以下,13,167,561.9
A2-,0.80超-0.85以下,449.6超-477.7以下,12,187,561.9
A1+,0.85超-0.90以下,477.7超-505.8以下,11,182,561.9
A1,0.90超-0.95以下,505.8超-533.9以下,13,186,561.9
A1-,0.95超-1.00以下,533.9超-561.9以下,13,199,561.9
B2+,1.00超-1.05以下,561.9超-590.0以下,7,184,561.9
B2,1.05超-1.10以下,590.0超-618.1以下,7,143,561.9
B2-,1.10超-1.15以下,618.1超-646.2以下,2,240,561.9
B1,1.15超-1.50以下,646.2超-842.9以下,14,118,561.9
C,1.50超,842.9超,9,114,561.9
