年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
29,9227,2675,546,12448,74.1,21.5,4.4
28,9663,2035,549,12247,78.9,16.6,4.5
