種類,再生利用量（千t）,構成比（％）
がれき類,5686,61.5
建設汚泥,1846,20.0
ｶﾞﾗｽ・陶磁器くず,566,6.1
木くず,293,3.2
混合廃棄物,203,2.2
廃プラスチック,200,2.2
その他汚泥,164,1.8
金属くず,149,1.6
上水汚泥,16,0.2
下水汚泥,9,0.1
その他,120,1.3
合計,9252,100.0
