項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋／外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,17小名木川／進開橋／二重測定,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,24日原川／氷川小橋,25平井川／多西橋,26北秋川／西川橋,27大栗川／向ノ岡大橋,28野川／天神森橋,29恩田川／都橋,30境川／鶴間一号橋,30境川／鶴間一号橋／二重測定,31黒沢川／落合橋,32空堀川／梅坂橋,33黒目川／神宝大橋,33黒目川／神宝大橋／二重測定,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,ND,ND,0.3,(0.3),1.1,1.0,(0.2),ND,(0.1),(0.1),0.3,0.3,(0.1),6.2,4.6,3.8,4.5,11,1.7,1.6,1.4,ND,ND,ND,0.5,0.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,12,14,480,450,770,76,28,33,26,28,27,35,16,340,260,460,390,730,110,110,140,3.6,3.6,1.6,17,18,3.4,(0.2),6.8,0.4,5.9,3.6,2.1,2.4,2.5,2.1,2.1,4.7,4.3,6.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,4.0,4.5,180,160,290,32,12,14,9.9,11,12,15,6.6,170,130,190,170,340,51,50,72,1.8,1.6,0.7,8.1,8.7,1.6,ND,2.3,(0.1),2.2,1.4,0.8,0.8,0.9,0.7,0.8,1.9,1.9,2.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,17,19,680,630,1100,120,45,52,40,44,45,56,28,560,430,750,660,1200,210,200,240,7.8,9.4,2.8,52,55,9.5,(0.2),9.6,0.5,8.9,6.6,3.6,4.0,4.3,3.5,3.6,7.9,7.5,11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,ND,ND,1.5,1.2,3.5,0.4,(0.2),0.37,(0.2),0.4,0.4,0.4,0.3,6.7,5.2,6.0,5.0,7.5,3.4,3.6,2.2,(0.1),(0.2),ND,1.5,1.4,(0.2),ND,(0.1),ND,(0.2),(0.2),ND,ND,ND,ND,ND,(0.2),(0.2),0.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,ND,ND,1.4,1.0,3.7,1.1,0.4,-,(0.2),0.7,0.7,0.5,0.5,6.1,-,5.5,5.1,8.5,6.5,6.4,4.4,0.4,(0.3),ND,2.2,2.2,(0.3),ND,(0.1),ND,(0.2),(0.3),(0.1),ND,(0.2),(0.1),(0.1),0.3,(0.3),0.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,1.8,2.5,87,73,170,21,9.7,14,5.9,12,14,12,8.0,150,120,140,140,200,71,71,69,3.6,3.9,1.6,27,28,3.9,ND,2.8,(0.2),3.6,4.1,1.7,1.2,2.0,1.3,1.3,4.3,4.0,9.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,2.3,1.9,5.4,(0.7),(0.4),0.34,ND,(0.3),(0.4),(0.4),(0.3),7.3,6.5,6.3,6.9,9.9,3.3,3.1,2.6,ND,ND,ND,1.3,1.3,ND,ND,ND,ND,(0.2),ND,ND,ND,ND,ND,ND,ND,ND,0.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,4.9,3.9,12,1.6,0.7,1.1,(0.5),0.9,1.0,1.0,(0.7),60,58,19,36,32,9.6,9.6,10,(0.3),(0.3),ND,2.5,2.5,(0.4),ND,(0.3),ND,(0.4),0.8,ND,ND,(0.2),ND,ND,(0.4),(0.4),1.4
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,4.5,3.3,10,1.2,(0.6),0.84,(0.5),(0.6),0.8,1.0,(0.6),27,28,13,19,18,5.3,5.4,5.5,(0.3),(0.3),ND,2.2,2.2,(0.3),ND,ND,ND,(0.4),(0.4),ND,ND,ND,ND,ND,(0.4),(0.4),1.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,1.0,1.7,51,39,150,19,9.9,13,6.0,10,15,13,9.4,470,500,200,340,310,110,110,130,3.5,4.1,2.2,35,36,4.7,ND,3.2,ND,5.3,6.6,1.9,1.4,2.6,1.7,1.3,5.3,5.2,22
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,2.0,2.6,130,100,250,26,15,15,8.2,8.8,14,19,8.4,1300,1200,380,780,670,170,170,220,2.4,2.9,1.4,26,26,3.2,ND,2.7,(0.2),4.3,4.7,1.4,1.7,1.9,1.6,1.2,3.1,3.1,20
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,4.0,5.6,260,210,590,52,31,31,16,18,28,39,19,2400,2500,750,1500,1300,330,320,550,5.7,6.3,3.2,57,57,7.1,ND,5.4,(0.5),9.2,9.6,2.8,3.6,3.7,3.2,2.4,6.4,6.3,43
