項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,7隅田川／両国橋　　外部精度管理,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋　　外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,18旧中川／中平井橋／二重測定,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,21立会川／立会川橋／二重測定,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,25秋川／東秋川橋,25秋川／東秋川橋／二重測定,26養沢川／新橋,27残堀川／立川橋,28城山川／五反田橋,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,34成木川／両郡橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,ND,ND,ND,(0.2),1.1,0.9,1.1,1.2,ND,ND,ND,(0.2),(0.2),9.1,11,1.9,4.0,12,2.2,3.0,3.1,ND,ND,ND,ND,0.6,ND,ND,ND,ND,ND,(0.2),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,9.8,14,64,240,400,98,230,230,8.5,35,4.6,39,27,520,830,350,300,870,210,270,270,4.2,3.0,15,15,20,2.2,(0.2),2.9,1.2,2.8,16,8.6,3.0,10,7.0,6.9,1.3,12,2.4,18,1.6,7.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,3.0,4.8,22,87,150,40,95,96,3.2,12,1.8,16,11,250,290,150,140,570,90,150,150,1.7,1.3,6.5,6.5,8.8,0.9,ND,1.1,0.4,1.3,6.5,3.1,1.1,3.4,2.3,2.3,0.6,3.7,0.7,5.3,0.5,3.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,13,19,90,340,590,150,360,360,13,53,7.8,61,47,860,1200,560,520,1500,370,460,460,9.0,7.5,30,30,58,5.4,(0.2),4.3,1.6,5.3,30,16,5.1,15,10,10,3.9,16,3.9,25,2.5,13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,ND,ND,(0.2),0.7,3.5,0.8,1.9,1.6,(0.1),0.4,(0.1),0.4,0.6,9.7,8.2,3.4,4.0,9.6,5.0,3.4,4.0,(0.2),(0.1),0.8,0.7,2.8,(0.1),ND,ND,ND,(0.1),1.1,0.3,ND,(0.1),ND,ND,ND,ND,ND,(0.2),ND,0.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,ND,ND,(0.3),0.8,5.8,1.1,3.1,2.7,0.3,1.0,(0.3),0.7,1.0,15,13,5.6,7.2,15,9.9,9.2,11,0.4,(0.3),1.7,1.4,4.6,0.6,ND,(0.1),ND,(0.2),2.2,0.6,(0.2),(0.3),(0.3),(0.2),(0.2),(0.2),(0.1),(0.2),ND,0.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,1.8,2.5,12,45,130,27,69,58,3.0,14,2.2,13,16,240,220,110,110,310,120,120,120,3.9,3.2,21,17,49,2.8,ND,1.0,0.6,2.2,22,7.4,1.6,3.8,2.4,2.6,1.5,2.8,1.0,3.5,0.8,12
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,(0.4),0.9,5.1,1.0,2.3,2.4,ND,(0.5),ND,(0.5),0.7,13,15,4.2,5.8,13,5.3,5.5,6.0,(0.2),ND,0.8,0.7,2.5,ND,ND,ND,ND,ND,1.4,(0.4),ND,ND,ND,ND,ND,ND,ND,ND,ND,1.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,0.8,2.5,11,2.2,6.3,6.3,ND,1.0,ND,1.3,1.3,110,110,12,30,43,19,20,23,(0.4),(0.3),1.6,1.7,3.9,(0.2),ND,ND,ND,ND,2.2,0.7,ND,(0.3),(0.3),(0.3),ND,(0.2),ND,(0.3),ND,1.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,ND,ND,(0.6),2.1,8.6,1.7,4.4,4.0,(0.6),(0.7),(0.4),0.8,1.1,49,49,8.0,15,23,11,11,11,(0.4),(0.2),1.4,1.5,2.7,(0.5),ND,ND,ND,ND,2.0,0.8,ND,ND,(0.3),(0.2),ND,ND,ND,ND,ND,2.3
