レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2),平均原単位(kg-CO2/m2)
A4,0.55以下,142.9以下,74,11307,259.7
A3+,0.55超-0.60以下,142.9超-155.9以下,11,5416,259.7
A3,0.60超-0.65以下,155.9超-168.9以下,14,5989,259.7
A3-,0.65超-0.70以下,168.9超-181.8以下,15,4235,259.7
A2+,0.70超-0.75以下,181.8超-194.8以下,15,4896,259.7
A2,0.75超-0.80以下,194.8超-207.8以下,16,3540,259.7
A2-,0.80超-0.85以下,207.8超-220.8以下,14,2375,259.7
A1+,0.85超-0.90以下,220.8超-233.8以下,16,3231,259.7
A1,0.90超-0.95以下,233.8超-246.8以下,18,2241,259.7
A1-,0.95超-1.00以下,246.8超-259.7以下,20,2715,259.7
B2+,1.00超-1.05以下,259.7超-272.7以下,17,2360,259.7
B2,1.05超-1.10以下,272.7超-285.7以下,18,2002,259.7
B2-,1.10超-1.15以下,285.7超-298.7以下,16,1953,259.7
B1,1.15超-1.50以下,298.7超-389.6以下,105,1551,259.7
C,1.50超,389.6超,54,1260,259.7
