区分,2015年度(百万kWh),2016年度(百万kWh),2017年度(百万kWh),2018年度(百万kWh),2019年度(百万kWh)
都内に設置された再生可能エネルギー発電設備による利用量,501,518,548,558,567
電気事業者からの供給による都内利用量（水力発電等の非FIT電力）,4152,3762,4302,4142,4572
FIT制度による再生可能エネルギー電力の都内利用相当（按分）量,3957,5215,6328,7353,8335
都内の電力消費量,77528,78367,79240,78757,77681
