種類,平成28年度（千t）,平成29年度（千t）
合計,16654,17448
上水汚泥,405,366
下水汚泥,14213,14405
建設汚泥,1272,1774
その他汚泥,477,497
廃酸,2,4
廃アルカリ,2,4
廃プラスチック類,75,76
木くず,23,47
がれき類,8,63
混合廃棄物,11,22
その他,166,190
