年度,汚泥（千t）,その他（千t）,合計（千t）
昭和57,34,0,34
昭和62,16,0,16
平成4　,51,0,51
平成10,64,0,64
平成15,49,0,49
平成16,69,0,69
平成17,71,0,72
平成18,73,0,73
平成19,74,0,74
平成20,45,0,45
平成21,150,0,150
平成22,326,0,326
平成23,44,0,44
平成24,46,0,46
平成25,10,2,12
平成26,20,1,21
平成27,17,1,18
平成28,26,0,26
平成29,25,0,25
