年度,建設業（千t）,製造業（千t）,その他（千t）,再生利用量合計（千t）
昭和57,1455,473,52,1980
昭和62,2642,384,86,3112
平成4　,3189,371,90,3650
平成10,4853,194,190,5237
平成15,6146,419,173,6737
平成16,5449,322,192,5963
平成17,6184,176,243,6603
平成18,7140,283,414,7836
平成19,6807,413,345,7566
平成20,5221,278,308,5807
平成21,5693,151,430,6274
平成22,5604,305,644,6553
平成23,5969,289,370,6628
平成24,6493,313,388,7194
平成25,7803,584,306,8694
平成26,8397,550,329,9276
平成27,8735,566,323,9624
平成28,8736,640,313,9689
平成29,8385,549,318,9252
