測定日,測定位置（高さ(m)）,No.1中防外側（μSv/h）,No.2中防外側（μSv/h）,No.3新海面（μSv/h）,No.4新海面（μSv/h）,No.5中防外側（μSv/h）,No.6中防外側（μSv/h）,No.7中防庁舎（μSv/h）
平成29年 3月28日,  0.5,0.06,0.07,0.04,0.04,0.07,0.03,0.04
平成29年 3月28日,  1.0,0.07,0.06,0.05,0.05,0.05,0.04,0.05
平成29年 3月22日,  0.5,0.05,0.09,0.04,0.04,0.06,0.03,0.03
平成29年 3月22日,  1.0,0.06,0.08,0.04,0.04,0.07,0.04,0.05
平成29年 3月14日,  0.5,0.05,0.07,0.06,0.04,0.06,0.03,0.05
平成29年 3月14日,  1.0,0.05,0.07,0.05,0.05,0.06,0.03,0.05
平成29年 3月7日,  0.5,0.06,0.07,0.07,0.07,0.07,0.03,0.04
平成29年 3月7日,  1.0,0.06,0.07,0.07,0.06,0.07,0.03,0.05
平成29年 2月28日,  0.5,0.06,0.07,0.06,0.05,0.06,0.04,0.05
平成29年 2月28日,  1.0,0.06,0.06,0.07,0.05,0.07,0.04,0.05
平成29年 2月21日,  0.5,0.05,0.07,0.04,0.04,0.06,0.03,0.04
平成29年 2月21日,  1.0,0.06,0.07,0.04,0.04,0.06,0.03,0.05
平成29年 2月14日,  0.5,0.06,0.07,0.07,0.07,0.06,0.03,0.04
平成29年 2月14日,  1.0,0.05,0.08,0.07,0.05,0.06,0.03,0.04
平成29年 2月7日,  0.5,0.07,0.09,0.07,0.04,0.07,0.04,0.04
平成29年 2月7日,  1.0,0.06,0.08,0.06,0.05,0.06,0.04,0.04
平成29年 1月31日,  0.5,0.06,0.08,0.04,0.03,0.07,0.03,0.05
平成29年 1月31日,  1.0,0.06,0.07,0.05,0.04,0.06,0.03,0.05
平成29年 1月24日,  0.5,0.05,0.07,0.05,0.03,0.07,0.02,0.06
平成29年 1月24日,  1.0,0.04,0.08,0.05,0.04,0.06,0.02,0.06
平成29年 1月17日,  0.5,0.06,0.08,0.08,0.04,0.06,0.03,0.05
平成29年 1月17日,  1.0,0.06,0.08,0.06,0.04,0.06,0.03,0.05
平成29年 1月10日,  0.5,0.06,0.08,0.08,0.05,0.06,0.03,0.06
平成29年 1月10日,  1.0,0.07,0.07,0.06,0.04,0.06,0.04,0.07
平成29年 1月5日,  0.5,0.06,0.07,0.04,0.04,0.07,0.04,0.05
平成29年 1月5日,  1.0,0.07,0.07,0.06,0.04,0.06,0.04,0.06
