一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
164,大田区東糀谷1-14,35.558262,139.739014,JGD2011,国道131号,C,2006-11-09,2006-11-10,3,4,3.6,2.3,73,72
166,大田区羽田旭町1-21,35.554543,139.746979,JGD2011,高速一号羽田線,C,2006-11-09,2006-11-10,2,6,8.3,25.5,72,70
178,世田谷区南烏山6-25-8,35.670761,139.597229,JGD2011,国道20号,b,2006-10-31,2006-11-10,3,5,3.0,1.2,75,75
182,世田谷区瀬田2-31-2,35.618965,139.629761,JGD2011,国道246号,b,2006-12-06,2006-12-07,3,8,3.0,1.2,75,73
184,世田谷区北烏山1丁目13,35.673714,139.603836,JGD2011,国道20号線,B,2006-11-30,2006-12-01,3,4,3.6,1.2,74,76
188,世田谷区太子堂1-1-6,35.644894,139.679047,JGD2011,国道246号,c,2006-05-30,2006-06-09,3,7,4.5,1.2,72,72
189,世田谷区上馬4-1-3,35.635326,139.664017,JGD2011,国道246号,c,2006-08-29,2006-09-08,3,6,3.2,1.2,75,74
191,世田谷区太子堂2-13-2,35.644962,139.672821,JGD2011,国道246号,c,2006-12-06,2006-12-07,3,7,2.6,1.2,75,73
192,世田谷区松原1-39-11,35.669838,139.651657,JGD2011,国道20号,c,2006-12-18,2006-12-19,3,8,3.5,1.2,73,72
194,世田谷区上北沢5丁目3,35.671165,139.621536,JGD2011,国道20号腺,C,2006-11-30,2006-12-01,3,4,6.1,1.2,73,72
197,渋谷区初台1-32,35.679077,139.684341,JGD2011,国道20号線,c,2006-11-16,2006-11-17,3,8,5.0,2.0,74,74
200,渋谷区代々木3-21,35.686443,139.695099,JGD2011,国道20号線,c,2006-11-16,2006-11-17,3,8,6.0,2.0,69,69
202,渋谷区幡ヶ谷2-1,35.678387,139.678772,JGD2011,国道20号線,C,2006-11-16,2006-11-17,3,6,3.5,1.2,71,73
205,渋谷区道玄坂1-2,35.657669,139.700348,JGD2011,国道246号線,C,2006-11-21,2006-11-22,3,6,5.9,1.2,73,68
239,杉並区下高井戸3-3,35.670132,139.631882,JGD2011,国道20号線（甲州街道）,c,2006-09-05,2006-09-08,3,8,5.0,1.2,70,68
250,杉並区下高井戸1丁目30,35.669174,139.630203,JGD2011,国道20号（甲州街道）,C,2006-12-18,2006-12-19,3,8,4.5,1.2,75,73
258,豊島区巣鴨4-27,35.738419,139.733139,JGD2011,国道17号,c,2006-11-15,2006-11-16,3,4,4.4,1.2,73,72
259,豊島区巣鴨1-18-11,35.732368,139.739441,JGD2011,国道17号,c,2006-11-15,2006-11-16,3,8,5.9,1.2,68,67
260,豊島区東池袋5-46-12,35.727242,139.727463,JGD2011,国道254号,c,2006-11-15,2006-11-16,3,4,4.5,1.2,73,71
263,北区岩渕町26-6,35.785709,139.722275,JGD2011,国道１２２号,c,2006-11-21,2006-11-22,3,5,4.5,1.7,69,66
264,北区神谷3-30-2,35.771313,139.733536,JGD2011,国道１２２号,c,2006-11-08,2006-11-09,3,6,3.4,1.3,71,68
265,北区神谷1-10-1,35.769032,139.734085,JGD2011,国道１２２号,c,2006-11-07,2006-11-08,3,7,3.2,1.3,70,67
269,北区滝野川1-90-8,35.745979,139.730972,JGD2011,国道１２２号,c,2006-11-01,2006-11-02,3,4,4.6,1.4,73,71
270,北区岩渕町10,35.783188,139.725143,JGD2011,一般国道１２２号,C,2006-11-28,2006-11-29,3,6,4.2,1.2,74,72
274,荒川区南千住1-59,35.734081,139.793381,JGD2011,国道4号,c,2006-05-15,2006-05-19,3,4,4.1,1.4,71,70
285,板橋区赤塚8-1-2,35.780674,139.649094,JGD2011,新大宮ﾊﾞｲﾊﾟｽ,b,2006-09-20,2006-09-21,3,3,4.0,1.0,69,67
286,板橋区高島平5丁目13,35.789223,139.643814,JGD2011,国道17号線,B,2006-12-04,2006-12-05,3,4,2.2,1.2,64,62
288,板橋区板橋2-67-7,35.751736,139.709290,JGD2011,国道17号,c,2006-07-24,2006-07-28,3,6,4.0,1.0,71,69
