一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
272,荒川区東尾久5-6,35.747059,139.769058,JGD2011,台東鳩ヶ谷線,c,2007-03-05,2007-03-09,4,4,3.7,1.4,72,70
273,荒川区荒川3-51,35.735783,139.780014,JGD2011,王子千住南砂町線,c,2006-09-04,2006-09-08,4,6,3.4,1.5,71,69
274,荒川区南千住1-59,35.734081,139.793381,JGD2011,国道4号,c,2006-05-15,2006-05-19,3,4,4.1,1.4,71,70
275,荒川区町屋3-8,35.746952,139.782974,JGD2011,上野尾竹橋線,c,2006-10-16,2006-10-20,4,2,3.2,1.5,69,67
276,荒川区荒川3-67,35.734917,139.778183,JGD2011,上野尾竹橋線,c,2006-09-25,2006-09-29,4,4,3.7,1.3,70,67
277,荒川区東日暮里6-17,35.729103,139.777298,JGD2011,特別区道荒107号,c,2006-11-06,2006-11-10,6,2,3.9,1.7,66,62
278,荒川区東尾久6-35,35.749165,139.772858,JGD2011,特別区道荒111号,c,2006-06-05,2006-06-09,6,2,2.5,1.5,66,62
279,荒川区西日暮里1-19,35.735771,139.775345,JGD2011,駒込宮地線,C,2007-01-18,2007-01-19,4,2,3.2,1.2,70,69
280,荒川区西日暮里1-18,35.736115,139.775024,JGD2011,駒込宮地線,C,2007-01-18,2007-01-19,4,2,3.2,1.2,68,68
281,荒川区南千住7-7,35.734943,139.797607,JGD2011,言問橋南千住線,C,2007-01-18,2007-01-19,4,2,3.8,1.2,69,68
282,荒川区南千住2-29,35.729717,139.798782,JGD2011,言問橋南千住線,C,2007-01-18,2007-01-19,4,4,6.3,1.2,68,65
