項目名,毒性等価係数,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市図師町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市図師町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市忠生4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市小山田桜台2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ周辺地区／町田市下小山田町･上小山田町／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市宮下町／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市戸吹町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市戸吹町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市川口町(1)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,八王子市戸吹清掃工場周辺地区／八王子市川口町(2)／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
"1,3,6,8-TeCDD",0,0.3,0.1,56,0.3,0.1,4.6,0.3,0.1,21,0.3,0.1,34,0.3,0.1,11,0.3,0.1,100,0.3,0.1,6.6,0.3,0.1,1.7,0.3,0.1,13,0.3,0.1,11
"1,3,7,9-TeCDD",0,0.3,0.1,38,0.3,0.1,2.0,0.3,0.1,10,0.3,0.1,21,0.3,0.1,8.5,0.3,0.1,40,0.3,0.1,2.4,0.3,0.1,0.8,0.3,0.1,5.7,0.3,0.1,5.6
"2,3,7,8-TeCDD",1,0.3,0.1,8.4,0.3,0.1,ND,0.3,0.1,0.4,0.3,0.1,1.5,0.3,0.1,0.4,0.3,0.1,0.3,0.3,0.1,ND,0.3,0.1,ND,0.3,0.1,ND,0.3,0.1,0.4
"1,2,3,7,8-PeCDD",1,0.25,0.08,53,0.22,0.07,0.29,0.23,0.08,2.2,0.24,0.08,13,0.25,0.08,3.4,0.23,0.08,1.4,0.23,0.08,(0.21),0.22,0.07,0.67,0.22,0.07,1.1,0.23,0.08,1.7
"1,2,3,4,7-PeCDD",0,0.25,0.08,2.2,0.22,0.07,0.35,0.23,0.08,4.2,0.24,0.08,2.8,0.25,0.08,2.9,0.23,0.08,1.4,0.23,0.08,0.26,0.22,0.07,0.77,0.22,0.07,1.6,0.23,0.08,1.5
"1,2,3,4,7,8-HxCDD",0.1,0.11,0.03,36,0.10,0.02,0.37,0.10,0.03,2.1,0.11,0.03,17,0.11,0.03,4.6,0.10,0.03,1.2,0.10,0.03,0.21,0.10,0.02,1.1,0.10,0.02,1.5,0.10,0.03,1.8
"1,2,3,6,7,8-HxCDD",0.1,0.4,0.1,74,0.3,0.1,0.7,0.4,0.1,4.9,0.4,0.1,39,0.4,0.1,11,0.4,0.1,2.4,0.4,0.1,0.5,0.3,0.1,1.6,0.3,0.1,2.6,0.4,0.1,3.5
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.1,78,0.4,0.1,0.6,0.4,0.1,3.9,0.5,0.1,35,0.5,0.1,8.9,0.4,0.1,3.5,0.4,0.1,0.5,0.4,0.1,1.2,0.4,0.1,2.2,0.4,0.1,3.9
"1,2,3,4,6,7,8-HpCDD",0.01,1.2,0.3,640,1.0,0.3,9.1,1.1,0.3,38,1.1,0.3,640,1.2,0.3,150,1.1,0.3,32,1.1,0.3,5.3,1.0,0.3,18,1.0,0.3,28,1.1,0.3,34
OCDD,0.0003,5,1,6500,2.0,0.5,72,2.1,0.5,140,10,3,12000,2.2,0.6,1600,2.1,0.5,470,2.1,0.5,75,1.9,0.5,180,1.9,0.5,130,2.1,0.5,240
"1,3,6,8-TeCDF",0,0.4,0.1,2.0,0.3,0.1,(0.3),0.3,0.1,2.8,0.3,0.1,2.4,0.4,0.1,2.0,0.3,0.1,0.9,0.3,0.1,(0.2),0.3,0.1,0.4,0.3,0.1,1.3,0.3,0.1,1.6
