種類,,東京都内／平成27年度／中間処理量（千ｔ）,東京都内／平成27年度／都内処理率（%）,東京都内／平成28年度／中間処理量（千ｔ）,東京都内／平成28年度／都内処理率（%）,東京都外／平成27年度／中間処理量（千ｔ）,東京都外／平成27年度／都外処理率（%）,東京都外／平成28年度／中間処理量（千ｔ）,東京都外／平成28年度／都外処理率（%）
汚泥,,12809,85.8,15406,83.8,2122,14.2,2985,16.2
汚泥,上水,441,100.0,425,100.0,0,0.0,0,0.0
汚泥,下水,11592,100.0,14251,100.0,0,0.0,2,0.0
汚泥,建設,387,16.0,351,11.6,2035,84.0,2678,88.4
汚泥,その他,389,81.7,379,55.4,87,18.3,305,44.6
廃油,,20,100.0,10,58.8,0,0.0,7,41.2
廃酸,,0,0.0,0,0.0,13,100.0,10,100.0
廃アルカリ,,0,0.0,1,20.0,5,100.0,4,80.0
廃プラスチック類,,178,57.8,128,45.7,130,42.2,152,54.3
金属くず,,135,82.3,107,58.8,29,17.7,75,41.2
ガラス・陶磁器くず,,271,47.1,288,39.9,304,52.9,433,60.1
がれき類,,4255,62.8,2485,39.1,2525,37.2,3878,60.9
木くず,,199,67.7,108,33.6,95,32.3,213,66.4
混合廃棄物,,237,79.0,125,44.3,63,21.0,157,55.7
特別管理産業廃棄物,,38,59.4,32,50.8,26,40.6,31,49.2
特別管理産業廃棄物,感染性廃棄物,19,52.8,17,47.2,17,47.2,19,52.8
その他,,115,60.2,79,36.7,76,39.8,136,63.3
合計,,18257,77.2,18769,69.9,5388,22.8,8081,30.1
上下水汚泥除く計,,6225,53.6,4094,33.6,5388,46.4,8079,66.4
