,地点番号,調査地点,,"平成24年度(TEQ)／水質(４月)
(pg/L)","平成24年度(TEQ)／水質(７月)
(pg/L)",平成24年度(TEQ)／水質(10月) (pg/L),"平成24年度(TEQ)／水質(1月)
(pg/L)",平成24年度(TEQ)／水質(年度平均) (pg/L),平成24年度(TEQ)／底質 (pg/g),"平成23年度(TEQ)／水質(４月)
(pg/L)","平成23年度(TEQ)／水質(７月)
(pg/L)",平成23年度(TEQ)／水質(10月) (pg/L),"平成23年度(TEQ)／水質(1月)
(pg/L)",平成23年度(TEQ)／水質(年度平均) (pg/L),平成23年度(TEQ)／底質 (pg/g)
河川,1,江戸川,金町取水点,0.43,-,0.088,-,0.26,0.41,-,0.25,-,0.076,0.16,1.0
河川,2,旧江戸川浦安橋,浦安橋,0.34,-,0.26,-,0.3,0.36,-,0.39,-,0.11,0.25,0.41
河川,3,中川平井小橋,平井小橋,0.53,1.6,0.81,0.7,0.91,5.3,0.41,0.81,0.51,0.64,0.59,1.3
河川,4,新中川小岩大橋,小岩大橋,0.4,1.8,1.1,0.33,0.91,1.5,0.38,0.47,0.43,0.18,0.37,2.8
河川,5,新川新川橋,新川橋,0.3,-,0.78,-,0.54,27,-,0.57,-,0.14,0.36,40
河川,6,隅田川小台橋,小台橋,0.88,0.77,0.31,0.45,0.6,20,0.55,0.89,0.19,0.12,0.44,17
河川,7,隅田川両国橋,両国橋,0.21,-,0.13,-,0.17,12,-,0.58,-,0.09,0.33,30
河川,8,新河岸川志茂橋,志茂橋,0.4,0.91,0.15,0.34,0.45,0.62,0.35,0.24,0.15,0.09,0.21,0.63
河川,9,白子川落合橋,落合橋,0.3,-,0.15,-,0.23,3.0,-,0.31,-,0.069,0.19,2.3
河川,10,石神井川豊石橋,豊石橋,0.23,0.3,0.1,0.067,0.17,9.8,0.19,0.18,0.08,0.066,0.13,0.47
河川,11,神田川柳橋,柳橋,0.08,-,0.12,-,0.1,15,-,0.17,-,0.07,0.12,62
河川,12,日本橋川西河岸橋,西河岸橋,0.076,-,0.12,-,0.098,6.6,-,0.1,-,0.077,0.089,32
河川,13,横十間川天神橋,天神橋,0.94,0.54,1.2,0.38,0.77,200,0.53,0.5,2.9,0.48,1.09,270
河川,14,大横川福寿橋,福寿橋,0.15,-,0.11,-,0.13,30,-,0.18,-,0.15,0.17,34
河川,15,北十間川京成橋,京成橋,0.36,0.76,0.35,0.29,0.44,47,0.34,0.37,0.42,0.29,0.36,27
河川,16,竪川ニ之橋,ニ之橋,0.15,-,0.11,-,0.13,94,-,0.41,-,0.16,0.29,50
河川,17,小名木川進開橋,進開橋,0.58,-,0.12,-,0.35,15,-,0.12,-,0.1,0.12,32
河川,18,旧中川中平井橋,中平井橋,0.31,0.2,0.42,0.23,0.29,22,0.22,0.24,0.18,0.79,0.36,30
河川,19,古川金杉橋,金杉橋,0.1,-,0.088,-,0.094,1.8,-,0.08,-,0.078,0.079,2.8
河川,20,目黒川太鼓橋,太鼓橋,0.073,-,0.091,-,0.082,0.64,-,0.064,-,0.069,0.067,4.4
河川,21,立会川立会川橋,立会川橋,0.13,-,0.081,-,0.11,1.0,-,0.087,-,0.093,0.09,7.2
河川,22,内川富士見橋,富士見橋,0.48,-,0.19,-,0.34,17,-,0.34,-,0.09,0.22,23
河川,23,呑川夫婦橋,夫婦橋,0.071,-,0.16,-,0.12,0.98,-,0.079,-,0.065,0.072,3.2
河川,0,日原川氷川小橋,氷川小橋,-,-,-,-,-,-,-,0.62,-,-,0.62,0.21
河川,0,平井川多西橋,多西橋,-,-,-,-,-,-,-,0.11,-,-,0.11,0.89
河川,0,北秋川西川橋,西川橋,-,-,-,-,-,-,-,0.064,-,-,0.064,1.0
河川,0,谷地川下田橋下,下田橋下,-,-,-,-,-,-,-,0.084,-,0.073,0.0785,0.81
河川,0,浅川中央道北浅川橋,中央道北浅川橋,-,-,-,-,-,-,-,0.071,-,-,0.071,0.21
河川,0,南浅川横川橋,横川橋,-,-,-,-,-,-,-,0.1,-,-,0.1,2.2
河川,0,湯殿川春日橋,春日橋,-,-,-,-,-,-,-,0.16,-,-,0.16,0.5
河川,0,大栗川向ノ岡大橋,向ノ岡大橋,-,-,-,-,-,-,-,0.08,-,0.066,0.073,0.69
河川,0,野川天神森橋,天神森橋,-,-,-,-,-,-,-,0.072,-,0.064,0.068,1.2
河川,0,恩田川都橋,都橋,-,-,-,-,-,-,-,0.069,-,0.065,0.067,0.7
河川,0,境川鶴間一号橋,鶴間一号橋,-,-,-,-,-,-,-,0.11,-,0.069,0.0895,0.96
河川,0,黒沢川落合橋,落合橋,-,-,-,-,-,-,-,0.15,-,0.1,0.125,0.6
河川,0,空堀川梅坂橋,梅坂橋,-,-,-,-,-,-,-,0.066,-,0.079,0.0725,5.9
河川,0,黒目川神宝大橋,神宝大橋,-,-,-,-,-,-,-,0.11,-,0.074,0.092,0.76
河川,24,多摩川和田橋,和田橋,0.068,-,0.062,-,0.065,0.21,-,-,-,-,-,-
河川,25,秋川東秋川橋,東秋川橋,-,-,0.063,-,0.063,0.27,-,-,-,-,-,-
河川,26,養沢川新橋,新橋,-,-,0.063,-,0.063,0.59,-,-,-,-,-,-
河川,27,残堀川立川橋,立川橋,0.17,-,0.22,-,0.2,2.4,-,-,-,-,-,-
河川,28,城山川五反田橋,五反田橋,0.13,-,0.08,-,0.11,1.9,-,-,-,-,-,-
河川,29,川口川川口川橋,川口川橋,0.083,-,0.076,-,0.08,1.0,-,-,-,-,-,-
河川,30,程久保川玉川橋,玉川橋,0.3,-,0.085,-,0.19,1.8,-,-,-,-,-,-
河川,31,三沢川天神橋,天神橋,0.31,-,0.091,-,0.2,0.31,-,-,-,-,-,-
河川,32,仙川鎌田橋,鎌田橋,0.081,-,0.082,-,0.082,0.97,-,-,-,-,-,-
河川,33,鶴見川麻生橋,麻生橋,0.11,-,0.098,-,0.1,0.65,-,-,-,-,-,-
河川,34,成木川両郡橋,両郡橋,-,-,0.066,-,0.066,0.5,-,-,-,-,-,-
河川,35,霞川金子橋,金子橋,0.079,-,0.17,-,0.12,1.8,-,-,-,-,-,-
河川,36,柳瀬川清柳橋,清柳橋,0.074,-,0.069,-,0.072,0.52,-,-,-,-,-,-
湖沼,1,小河内ﾀﾞﾑ,ﾀﾞﾑ前定点,0.064,-,0.063,-,0.064,4.8,-,-,-,-,-,-
海域,(1),St.５,船の科学館前,0.1,-,0.089,-,0.095,12,-,0.09,-,0.09,0.09,12
海域,(2),St.６,中央防波堤内側,0.088,-,0.076,-,0.082,19,-,0.076,-,0.11,0.093,15
海域,(3),St.８,荒川河口付近,0.18,-,0.47,-,0.33,16,-,0.16,-,0.14,0.15,15
海域,(4),St.２２,浦安沖,0.081,-,0.065,-,0.073,30,-,0.089,-,0.073,0.081,23
海域,(5),St.２３,京浜島東,0.096,-,0.08,-,0.088,8.1,-,0.08,-,0.084,0.082,5.7
海域,(6),St.２５,東京灯標際,0.2,-,0.094,-,0.15,17,-,0.071,-,0.11,0.091,16
海域,(7),St.３２,多摩川河口,0.089,-,0.083,-,0.086,8.6,-,0.075,-,0.075,0.075,9.1
海域,(8),St.３５,多摩川河口沖,0.099,-,0.064,-,0.082,27,-,0.075,-,0.07,0.073,25
注）海域の水質、底質のデータは修正されております(平成26年1月30日）,,,,,,,,,,,,,,,
