年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
28,4,2,0,6,66.7,33.3,0.0
27,3,1,0,4,75.0,25.0,0.0
