年度（平成）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,合計（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
28,13,42,4,59,22.0,71.2,6.8
27,14,42,4,60,23.3,70.0,6.7
